,Body,Year,Positive,Neutral,Negative,Compound
21,"Hope this is not too late. Do consider unicane at sungei kadut. You have to go all the way to sungei kadut, but it is quite cheap and can bargain. As for other stores, I think OHMM and Teak and Mahogany are nice, but not cheap.",2015,0.15025,0.84975,0.0,0.240675
22,"Okays will check them out! I see these recommendations not bad for outdoor furniture.. like http://homefactor.com.sg/ , OHMM and Teak and Mahogany. OHMM didn't put their price though.. Outdoor furniture all like not cheap. Guess I'll have to go down to sungei kadut to take a look and compare prices! Thanks for recommending cat whisperer!",2015,0.25466666666666665,0.7453333333333334,0.0,0.33891666666666664
23,"Hi forumers, may I ask which stores you would recommend for teak wood furniture? I'm referring to a list here, please let me know which of these furniture shops are good in your opinion. I'm looking to get a teak dining set (mid-sized 6 to 8 seater). My friends recently purchased a bench from Journey East, has anyone else bought stuff from them? What's your feedback? Thanks!",2013,0.2645,0.7355,0.0,0.3279
24,"Have you tried John Erdos? They have some nice teak furniture, a few of them are on sale from time to time - http://www.johnerdos.com.sg/clearance.php?1",2013,0.0745,0.9255,0.0,0.21075
25,check out Hewn at hewn.sg - got some nice looking recycled teak furniture.,2016,0.203,0.797,0.0,0.4215
26,I found this seller selling indonesia teak furniture in Singapore. They sell the furntiure in their own website as well as in Shopee. the person in charge is friendly and the price is very attractive. the reviews in shopee website is mostly 5 star. teakwoodasia.com,2021,0.1078,0.8922,0.0,0.20466
27,"Golden Teak at Tan Boon Liat? Have a wide range of stuff, can also customise for you. Have an item on order from them, can update on quality when I get it first week April",2021,0.0,1.0,0.0,0.0
28,Hi all. Any expert can advise which material would make better and more worthy to purchase assuming all similar pricing. 1) rosewood 2) oak 3) walnut 4) teak Sent from Xiaomi MI MAX 2 using GAGT,2018,0.09200000000000001,0.908,0.0,0.24213333333333334
29,"Teak, personal preference",2018,0.0,1.0,0.0,0.0
30,Any advise why? Sent from Xiaomi MI MAX 2 using GAGT,2018,0.0,1.0,0.0,0.0
31,Teak for its anti termite properties. Not sure why the furniture is of similar pricing though. Rosewood (raw material) is significantly more expensive than teak and teak is more expensive than the rest.,2018,0.0,0.8353333333333334,0.16466666666666666,-0.18643333333333334
32,"Just an illustration so that we can focus on the actual material strength and weaknesses, not the pricing. Sent from Xiaomi MI MAX 2 using GAGT",2018,0.0735,0.8685,0.0575,0.08895
33,"If you buying from local shops you can guess which variation they are selling. The honest ones will tell you the truth too. A lot of our teak is Indonesian. Cos Burmese teak is very expensive now. Burmese teak are from very old trees. Stronger, darker in colour. Walnut is very confusing cos there are many versions and imposters. 1. American Black Walnut (Juglans nigra) - The best you can get, grows in North America. 2. South American Walnut (Albizia saman) - Totally different species but looks similar at first glance cos it also has sapwood. Grows in South America 3. Suar, Raintree, Monkeypod - Same as 2. But exported by the Spanish to S.E Asia. The weather is different here so the wood grows differently. Less dense, softer and more unstable than the South American ones. I didn't read up much on rosewood and oak when buying my furniture. Some honest people I know are at Tan Boon Liat where I bought a lot of my stuff. Grey and Sanders for American Black Walnut, and UnikHome for Teak. Grey and Sanders are nice and friendly and they love wood. So you can go chit chat with them and build your knowledge. UnikHome was upfront and honest telling me they use Indonesian Teak. Tan Boon Liat is really fun to browse, can spend a whole day there. There was one shop selling colonial style rosewood furniture (over $500 per dining chair!)",2018,0.10616666666666667,0.87725,0.016583333333333332,0.1458375
34,Wow you are very knowledgeable! Thanks for your great insights! Isit normal that the price of Indo teak furniture is easily double of cheaper wood like rubber wood furniture?,2018,0.4796666666666667,0.5203333333333333,0.0,0.6767666666666667
35,"Yah I think so. Teak is far superior to rubberwood. Teak used to be what ships were made of. Rubberwood grows fast, is pretty plentiful in S.E Asia and very easy to work with, that's why a lot of furniture uses it here now. Another low cost popular wood here is Nyatoh. Nowadays though, the popular low cost options would be to buy laminated plywood furniture. Laminates have come a long way, with really nice designs. I just haven't seen any that have duplicated the chatoyancy of real wood. Anyway, from the wood database - Teak Rot Resistance: Teak has been considered by many to be the gold standard for decay resistance, and its heartwood is rated as very durable. Teak is also resistant to termites, though it is only moderately resistant to marine borers and powder post beetles. Rubberwood Rot Resistance: Rubberwood is perishable, and has very little natural resistance to decay. It is also susceptible to fungal staining and insect attacks.",2018,0.12366666666666667,0.8003333333333333,0.076,0.0775
36,Of course teak. It has anti fungal and anti termites properties. Last a lifetime and when dye looks beautiful. Teak also have mild pleasant scent that is unique from other wood.,2018,0.15625,0.73525,0.1085,0.13815000000000002
37,"be careful when u buy oak wood... there are 2 kind, oak from malaysia or oak from america. oak from malaysia is also known as rubberwood. http://namufurniture.com.sg/2016/08/...malaysian-oak/ anyway, I bought my teak bedframe from boo furniture in JB... check them out. JCBspoken is also known for their teak furniture.",2018,0.06575,0.93425,0.0,0.1531
38,How is boo furniture's quality? They are selling Indo teak right? Is their wood and workmanship of good quality? Sent from Xiaomi MI MAX 2 using GAGT,2018,0.07325,0.92675,0.0,0.1101
39,"the display set in those showroom are quite impressive. u have to see it urself to judge. overall, i'm happy with their services. I have yet to recevied my order. google it.. there are alot of review on them.",2018,0.147,0.853,0.0,0.22564
40,"I did modifications on my solid teak wood desk, the hardwood is really hard. Used a jigsaw, powered sander, teak stain, and many other tools.",2021,0.056,0.885,0.059,-0.012
41,"think jigsaw would really rape the edge surfaces = need to sand gaolat, rather you handsaw with Ryoba for cleaner cut.. (ryoba got cross and rip blades) small parts where the brace of the saw won't get in the way, backsaw or those hacksaw for metal also works for hardwood... more precise or finer cut for joinery then dozuki suizan makes decent saws with replaceable blades for the $",2021,0.023,0.879,0.097,-0.7501
42,why not get from wihardja or pagoda teak? both of them can do custom. pagoda teak currently having moving promo 20% for stock item... you not worry if the item come already not same like what you request or low quality item if order from them and shipped over? or maybe damage etc?,2016,0.0155,0.8282499999999999,0.15625,-0.1743
43,Scanteak furniture good ? Those scanteak look alike from taobao also not cheap leh,2016,0.296,0.704,0.0,0.2202
44,i m look at it too... if my budget allows i will buy these... but not sure anyone got buy not thou...,2016,0.0,0.88,0.12,-0.3491
45,scanteak is good but its not cheap.,2016,0.245,0.755,0.0,0.2382
46,"I saw Scanteak bed frames like not bad, but their cupboards really cmi..",2016,0.269,0.731,0.0,0.397
47,Eh i dun like scanteak sell dun sell in a bundle. Everything individual. Ask for a dining set with 4 chairs and 1 bench table 1.6m cost 2477. Can die.,2016,0.0595,0.7415,0.199,-0.059550000000000006
48,their tv consoles pretty neat too.,2016,0.608,0.392,0.0,0.7351
49,"Hi all, I'm thinking of getting those big solid Suar or teak tree wood dining table Example: (I'm not advertising for this below company) https://suarwood.sg/solid-wood-dining-table-singapore/ Any recommendation for direct factory that i can go see and select?",2018,0.044,0.956,0.0,0.1531
50,"Have heard from various wood experts not to get suar. Suar is a fast growing Indonesian tree. The problem is because it grows fast, the core is relatively young and not dried out. Coupled with the fact that Indonesian kilns are also relatively new, less skilled and impatient. What happens is you get a wood table that is still drying out and changing shape. Over time it will crack. What some factories try to do to counter this is to make table tops out of really thick suar. The better but more expensive alternative is American black walnut. These are old trees that have dried out for a long time and usually kiln dried in experienced kilns. They let them dry and crack already so the ones you have will be very stable. Teak is also a great option but will not give you that sapwood look with the outer edges being lighter colour than the inner core. I got my table from grey and sanders. They are very friendly and you can chit chat with them to ask more about wood. They are at tan boon liat building, so I suggest you put aside a whole day and walk every floor of the building. There are a whole lot of other furtniture shops there, many of them specializing in solid wood, especially teak. Can go and ask all of them about their opinion on suar.",2018,0.0795,0.9033125,0.0171875,0.11044375000000001
51,"If you see wood dust below the furniture pieces in the shops, do yourself a favour and get out of there. It's a sign of wood beetle infestation meaning the wood has not been treated and dried properly.",2018,0.066,0.9339999999999999,0.0,0.2202
52,"Suar Wood is actually American walnut. origin is from South america. indo also has Suar. The thing is that when a customer places an order, he has to ensure its from south america, not from Indo.",2018,0.03,0.97,0.0,0.09545
53,"Oh Hong Liang. We spent more time with the nice lady at Aik Leong. Will check out Hong Liang. Today we spent some time at this place called Wihardja, selling mainly teak furniture. Anybody bought from them? Their pieces seems interesting and cheaper compared to Scanteak, but quality probably not as good.",2016,0.05366666666666667,0.9175,0.028833333333333332,0.018733333333333334
54,"Hey guys, I'm keen to order some custom made Teak wood furniture from Indonesia Problem is their minimum shipping is 20ft container costing close to 2k SGD or more per shipment. Anybody wants to share? I am looking for just one other party ... I think You can send them your design and they can make anything for you.. in teak. Pm me. Prices of course higher than TaoBao.",2016,0.129,0.8578333333333333,0.013166666666666667,0.10771666666666666
55,Buy locally. I know someone who buys wood from Indonesia and custom make the furniture in Singapore. Prices are pretty good . PM me for contact if keen .,2016,0.2715,0.7285,0.0,0.272025
56,Thot they can consol the shipment for you with other shipper?,2016,0.0,1.0,0.0,0.0
57,Scanteak???,2017,0.0,0.5,0.0,0.0
58,"Just go Tan Boon Liat building. From level 13 to 3. Full of furniture shops. Good quality. â€¢ Hommage (Japanese furniture ) â€¢ Pomelo ( European or rather modern design. Muuto designs) â€¢ Mountain Teak Else go Millenia Walk. ( level 2) â€¢ Grafunkt ( European modern design) â€¢ Conde House ( Japanese wood) Or scandi design ( both at Pasir pangjang, 2-4 buildings apart) â€¢ Kuhl Home â€¢ Danish design",2017,0.10628571428571429,0.8937142857142857,0.0,0.06291428571428571
59,"Lack of consumer protection or recourse for Singaporeans who lost thousands to interior design scams The excitement of getting new furniture and renovations for their homes turned into a terrible experience of frustration and cheating for several couples who were swindled out of thousands of dollars by a furniture company. Located in the Tan Boon Liat Building, a furniture shop named SOSâ€”sometimes called Collective Living, Prestige Modern Space Living, Teak & Coâ€”trapped several couples who were eager to furnish and upgrade their living space by cheating them out of tens of thousands of dollars and delivering shoddy work. All these cases involve the same company and sometimes even the same person, named Ben or sometimes as Brandon Toh. While it may seem on the surface like a simple case of a company delivery bad work, the method it has employed in conducting these dealings point to a deeper, darker story. Several couples swindled One woman shared a story earlier in August 2020 about this furniture store on the Facebook group â€œSG Blacklists Profiteering Retailersâ€. In a series of screenshots, she notes how she visited the furniture store on the 14th floor of the Tan Boon Liat Building, called SOS. A salesman named Ben or Brandon who claimed to be boss told her that the sofa she purchased could arrive in a month, on 1 March 2020. However, it never did. She messaged him on 5 March to follow up and he simply said that he would revert back to her. Messaging him again about 20 days later, she received no reply. Thatâ€™s when she decided to call. He then told her that the furniture would arrive on 1 April as there was a shipment coming in. A few days after that on 6 April, still no sofa. When asked, he said that the sofa had arrived but the delivery man couldnâ€™t get through to the customer to make the delivery. The woman said she didnâ€™t get any missed calls at all. Once the Circuit Breaker was implemented in April, nothing could be done. So she waited until June. When the sofa finally arrived, it was not to the customised measurements requested and the cushions were the wrong size. In a different case, a woman â€œLeneâ€ shared the story of how she and her partner were cheated out of S$5,000 when they were out shopping for furniture for their first new house. In a post on the site in November 2020, Lene noted that the store had overcharged them for their depositâ€”charging S$5,000 instead of the actual amount of S$1820â€”but refused to refund the excess. When they requested to cancel the order entirely and get a full refund, they got nowhere. For over eight months, the couple have yet to be refunded. Lene noted in her blog that the store became uncontactable after the refund form was filled, and that when they went to the store to ask for an update, they were referred to the companyâ€™s office. Oddly, the company doesnâ€™t actually have an office. Lene notes in her post that the furniture store is not a company name that exists. The parent company P+ Capital Pte Ltd, on the other hand, only has a virtual office. However, that virtual office doesnâ€™t handle P+ Capital. The couple was also given a phone number of Ben who they were told to contact about the issue. However, Ben has blocked their number. The couple have filed a police report on the matter as well as a claim with the Small Claims Tribunal which has ordered the furniture store to make a full refund. There have been several other similar cases like this involving this furniture store as well as the person named Benâ€”some of which involved over S$40,000, and shoddy renovation works which require major rectification. One person paid Ben to do some interior designing and renovation work on their home in August 2020, costing roughly S$86,000. Theyâ€™ve paid up about S$60,000 so far but the work is not even nearly up to par. Ben had apparently agreed to refund the woman S$20,000 on 2 February this year but she hasnâ€™t received a single cent. She also found out that he hadnâ€™t obtained a permit to conduct the renovation works, meaning that she had to apply for it herself after he had already started. Another woman has hired the company for renovation works as well and purchased some furniture from them. However, he had made a mess of the carpentry and wet works. She terminated the contract. However, she had already forked out roughly S$26,000 for the works including about S$8,000 for furniture which was delivered to the house while the renovation was ongoing. Yet another person who hired this name found that he has just dismantled her cabinets, stuck some stickers on it to make it look new and reattached it. His shoddy work extended to using glue to attach tiles and neglecting to do water proofing works where needed. He also installed tiles without letting them choose their own designs, saying that he will take care of everything. Laws not enough to protect consumers or provide avenues for redress A common thread in all these stories is also that this Ben person is quite sneaky in how he deals with his â€˜clientsâ€™. Several people pointed out how the furniture is delivered right in the middle of renovation works and in a way that leaves the couples with no option but to accept the furniture. They are unable to inspect or test it. Once the furniture is received, they are less likely to be able to claim â€˜fraudâ€™, as one lady point out. This leaves them with fewer options to go after the people involved. To add another layer of frustration, while police reports have been made by those who were cheated, the police are not exactly treating these cases as a cheating but merely a â€œdisputeâ€. This is where the furniture delivery tactic comes in. Once the furniture is delivered, the victims canâ€™t quite claim that they have been cheated since they did receive furniture. It then becomes just a dispute on the furniture that was deliveredâ€”in terms of dimensions, quality, etc. Now, TOC understands that this Ben person is involved in a few other corporate disputes as well. We also understand that the person in charge of these stores, Ms Lou Zou Yee listed as the director of the company, has not been called in for questioning by the police. TOC did visit the store and asked to meet with the person involved. However, the person was not there at the time. Despite several attempts to reach out, we have been unable to get in touch with him for a response on this matter. At first glance, the company appears to be a legitimate furniture store specialising in teak wood furniture. They even attached â€˜SOLDâ€™ labels on some of the furniture in the store, selling the idea that the business is doing well. But closer inspection reveals that the labels are actually quite old. Itâ€™s nothing more than a farce. One victim shared that they trusted him and the photos he sent as reference of his past work seemed legitimate at first glance. However, in hindsight, she recalled that he had never explicit claimed that the photos were of his own work. In fact, a close look reveals the photos to be that of showrooms and the work of other interior designers. He was merely passing them off as references but careful not to explicitly say it was his. The victim also recalled how insistent he was on making payment via cash, bank transfer or PayNow, claiming that credit cards would incur a 7 percent GST. Many of these victims note how difficult it is to get in touch with Ben, especially once they begin to doubt his work or demand a refund or termination of contract. When they do manage to get hold of, he piles on excuses, doing all his to avoid refunding them. Sometimes, he downright just ignored them. Several of these victims have made police reports against Ben and the company but to no avail. They also attempted to seek redress in the Small Claims Tribunals. As the case of Lene, we know even that is not useful as Ben can just avoid paying them the amount the court ordered him to do. These cases, and many like them, highlight how Singaporeâ€™s consumer protection laws are not powerful enough to protect them. It also shows how little efforts are being made to help those who have been scammed. Lack of active enforcement and deterrence by authorities and agencies in Singapore to protect consumers And these are just the tip of the iceberg in Singapore. TOC has reported on similar cases in the past. Earlier in 2014, we reported on how 13 families were cheated by an interior designer who misrepresented his former employer, took their deposit for renovation work and disappeared with work left half done. The interior designer would accept the renovation jobs from the families, take the deposit, start the â€œrenovationâ€ work by hacking up the floor, and then disappear, leaving the family with a bare uneven concrete floor which they sometimes have to put up with for months. However, the police had initially classified these as civil cases and did not record them down. The police then advised the families to seek legal redress. The case was only classified as cheating after the families banded together to insist that the police file their cases. Unfortunately, even with an investigation officer being assigned to the case, not much was done to update the families at the time. It seems that the burden is on the victims to file civil claims against the company that cheated them while the police treats the matter as a commercial dispute between a willing buyer and a seller. The victims in these cases have filed complaint to The Consumers Association of Singapore (CASE) but the agency will do nothing more than register their complaint and write a friendly letter of demand. In rare cases where police takes active steps, it is after the case goes public. For example, like the case of the Vietnamese tourist who was cheated out of his money at a cellphone shop in Sim Lim Square back in November 2014. CASE had received over 25 complaints from the public between August to October 2014 prior to the incident with the tourist, yet no action was taken in regards to the shop in question. It was in 2015, that five men related to the now-defunct Mobile Air Pte Ltd, including its former owner Jover Chew, were detained over a series of cheating cases at Sim Lim Square. Despite police reports were lodged against the company for alleged unfair and dishonest sales tactics, with customers complaining that they were coerced into buying mobile phones and in-house warranties at inflated prices due to hidden terms and agreement in the sale contract, both the Police and CASE only took action after the video of the poor Vietnamese tourist begging on the floor went viral. Back to this case, Lene approached CASE and asked them to list this companyâ€™s address as a company alert list. In response, they said that there needs to be a lot of complaints against the company before they can put the company up. Lene asked, â€œhow to, when they can change (their company name) everyday?â€ So as a buyer and consumer, you have to always be cautious because you cannot rely on the police, CASE, or even the small claims tribunal to get your money back once youâ€™ve been cheated out of it. The best bet at getting some form of justice, may be very well be having your story heard in social media. https://www.theonlinecitizen.com/202...-design-scams/",2021,0.045870967741935484,0.8869247311827957,0.06719354838709678,-0.0829247311827957
60,"Story : - Purchase some teakwood Desk and Cabinet from this Royal Thai Wood and Craft Co.Ltd in Feb 2018. - Made full payment on the spot as it was a good price and their store was quite legit with many models on display. - Their sales staff even promise to deliver the two products by Mar 2018. - As of Aug 2018, I have never received their products yet. - Send them a email and they come up with lame excuse like ""PROBLEM WITH TEAK WOOD RAW MATERIAL OR MATERIAL RUN OF STOCK AND OUR CRAFTMAN WENT BACK TO HIS HOME TOWN"" - They also didn't bother to call or email me when I clearly told them to inform me early if there is any delay. - Email them regularly but no reply until recently they reply me with the screenshot below last week. Send them few emails and until now no more reply ! DO avoid when you guys go Bangkok ! Possible that the Thai Police may step in to help if I escalate the case ?",2018,0.06544444444444444,0.8462222222222222,0.08822222222222222,-0.025477777777777776
61,"Bro, Checkout Helping Hands on upper serangoon road. They have a 50% sale on Solid Teak furniture until tomorrow. I placed order for a TV table, 640 for a solid teak one measuring 150x43x50 cms",2013,0.16933333333333334,0.8306666666666667,0.0,0.20073333333333335
62,Thx but I don't need so good one. After all if I can get 3 for $700 isn't it better than one for $600? Mine is 60x93x28 cm and made of wood board will do.,2013,0.19266666666666665,0.7553333333333333,0.052,0.147
63,I plan to ship loose teak furniture from Indonesia The other built in custom furniture my mother make. But i pay her what she usually charges.,2016,0.0,0.731,0.269,-0.3397
64,Does anyone know where I can make a custom L shaped study desk with nice wood like suar teak or pine those type,2020,0.227,0.773,0.0,0.6486
65,"pine is considered nice wood meh? pine is like chapalang wood, usually people won't use for furniture (except budget furniture like some of ikea stuff) cos pine very soft and will dent easily, plus the woodgrain is not considered aesthetically pleasing. nice wood, aside from suar/teak like you mentioned, you should be looking at woods like walnut, zebrawood... if got a lot of money, mahogany, rosewood, ebony etc. budget alternative for solid wood and decent aesthetics maybe rubberwood, but if you/your family got latex allergy then should avoid.",2020,0.2095,0.702,0.0885,0.3348
66,[QUOTE=americanhippo;103819639]Hehe I waiting for more money first plan to buy some loose teak furniture from Indonesia.,2016,0.0,0.859,0.141,-0.3182
67,"Hello all - I'm making a trip down to Balestier Road over the weekend and perhaps in the few weekends to come to check some home and bathroom fittings / accessories / furniture. I'm not very familiar with that part of Singapore but I'm aware that street is a reno related galore street. Am intending to start walking from the Thomson road end starting with Hafary tiles and see how far can my legs and energy take me. Not driving, so will take cabs and buses if necessary. Can someone recommend a few must visit or good showrooms and shops along the way especially for bathroom accessories ? Some of the stores on my list includes: 560 Balestier - Hafary tiles 360 Balestier road - Novena furnishing Pegu Road - Scan Teak Before Balestier road, will be visiting HoeKee showroom at Genting Lane first ! Any other comments and suggestions/recommendations will be appreciated ! Thanks !",2015,0.208875,0.791125,0.0,0.2477125
68,"If you are a fan of teak wood, there's actually two scanteak outlets at balestier. One at pegu road while the other is nearer to the thomson medical side.",2015,0.075,0.925,0.0,0.1591
69,go check out those furniture shop selling teak wood furniture. they can have good looking furniture that serves well as hifi rack at affordable prices.,2013,0.139,0.861,0.0,0.3062
70,Remember to choose solid wood like teak or walnut. Not mdf **** when choose table/console.,2021,0.1845,0.8155,0.0,0.23835
71,TS asking for cheap. Solid wood won't be cheap lol,2021,0.101,0.752,0.147,-0.09285
72,marble table also can right? Sent from Samsung SM-J320G using GAGT,2021,0.0,1.0,0.0,0.0
73,"BTW TS I like the way the Peranakan tiles are done here esp if you have very few pieces - save $$ too my Post #429 in http://forums.hardwarezone.com.sg/ea...#post102824741 and http://www.homeanddecor.com.sg/artic...arm/telokkurau Also look at the floor tiling treatment in kitchen there Spoiler! And the teak furniture piece(s) in the bedroom there ! Wood-tone pieces make up the master bedroom. The window shutter headboard is from Taylor B, while the bedside tables are from Wihardja, and the trunk is from Teak Palace. Spoiler! I think you MIGHT also get some ideas from this kitchen pic I like the pic somehow - find rustic-retro RAW beauty etc in it ! (I have LOTS of pics on kitchens n bathrooms collated these few days on my own Retirement-HDB Thread - for future reference (also for those retro lovers as quite a few vintage look flats etc) ) Spoiler! You might also like this custom-made concrete sink found in the common bathroom of this 4-Room Resale flat from $80,000 open-concept four-room flat that's bright and airy 28 May 2016 http://www.homeanddecor.com.sg/artic...right-and-airy Spoiler! ADDED : Just completed posting on 2 x 2-Storey Shophouse Homes in my HDB Retirement Plan thread (1 in Joo Chiat n the other 250k spent on its reno)",2016,0.07277777777777777,0.9272222222222222,0.0,0.3071888888888889
74,"There are also three different grades of teak, A B and C. Most teak from Indonesia are B and C, where the trees are grown in conserved forestry. Grade A teak are from the heartwood of mature trees. https://www.farawayfurniture.com/a-b...explained.html",2018,0.08633333333333333,0.9136666666666666,0.0,0.14049999999999999
75,"Just an update. I went with boo furniture in the end. All their furniture are made to order from Indonesia teak, a pleasure surprise for me as I can customise not only the size and also the design. I designed my own chair by mixing a chair base with another handle design. Turn out quite comfortable. They are not pushy at all and really knowledgeable. Price is very reasonable compared to SG shops (of course). Lead time can be long as it's customised. Took around 2-3months for me. Overall super happy with them! Sent from HUAWEI BLA-L29 using GAGT",2019,0.15054545454545454,0.8494545454545455,0.0,0.2089
76,"Just wanted to share a recent purchase at Furniture mall. We decided to get a new sofa (3+2) and was quite taken in with the Burmese teak wood model. We were served by a lady named Susan and was very approachable. We were hesitant initially after hearing the first offer but changed our mind after understanding more on the type of teak used and how we could maintain it for the future. Delivery schedule was ok although we could have pushed for a earlier time slot. For those who have passed by the shop or recce before, do check out the designs as we found it different from other shops. Susan was also very friendly and good with product knowledge throughout the buying process (We went back to the shop 3 times on different days) . Disclaimer: I'm not the boss nor staff working at this particular shop. Neither am i given any incentives for this post. This is a positive experience sharing and only relates to our experience with this staff at this outlet. Cheers and Happy Shopping!!",2011,0.16075,0.7519166666666667,0.004,0.258125
77,What type of solid wood are you referring to? Teak?,2018,0.0835,0.9165,0.0,0.07655
78,"Xtra can only buy their Aeron and Embody chairs. The rest don't bother. Maybe some stools. For sofa I prefer natuzzi. Most cupboards and such are solid wood teak, snake wood and maha.",2015,0.1062,0.8938,0.0,0.08230000000000001
79,jin satki. nxt time moi got house invite u house warming,2015,0.174,0.8260000000000001,0.0,0.148
80,Can try hewn.sg. Nice scandi look. lot of their products are reclaimed teak.,2016,0.19433333333333333,0.8056666666666666,0.0,0.14049999999999999
81,"I just got my flat and doing renovation now. I am looking for furniture for my new place. I came across etch&bolts on facebook and I went to their pop up store couple of weeks ago. I found that what they are offering is really interesting and quite hard to find in other furniture stores. They do customisation, range of leather and fabric colors for sofas and ottomans. if I were to get wooden leg sofa, I have a few wood shades to choose from too. i really like their lighest wood leg color! other than sofa and ottoman, they do sell tables, chairs, tv console too, if im not wrong, they are using solid teak wood, customisable dimensions and they have like 15-17 wood shades to choose from. Basically, they really offer customisation and pricing wise ranging from 1.6k to 2.3k i was wondering whether they are other furniture stores that are worth going or offer similar service as etch&bolts? Thank you!",2015,0.154,0.8378,0.0082,0.25107
82,"Hi Everyone, Because of COVID,I am looking to move outside Singapore. The family all go overseas to study. Our house got some furniture, 1. Thick Queen Mattresses each for $112 2. Thick Super Single Mattresses each for $87 3. Marble Dining Table for 8 pax for $1300 4. Teak Bed Frame Queen for $136 I don't want to just dispose the furniture la as all in excellent condition and cannot afford to give cheap as the movers charge so high. I no vehicle also. Can advise what to do with these furniture? I tried Carousell, Facebook Marketplace and Gumtree but response very slow. You all share within your networks can help me then I can take small job overseas otherwise stuck with these. WhatsApp Contact Number: 91005620",2020,0.08191666666666667,0.8641666666666666,0.05391666666666667,0.11332500000000001
