,Body,Year,Positive,Neutral,Negative,Compound
10,"funan not selling the sitoca series that i want.... shoot them an email if they are able to customise for me and pricing... but doubt they will entertain me as they are doing for coporate business, and may not do for end-users like me... but, hoping for a reply frm them..",2013,0.168,0.748,0.084,0.714
11,"i think both places services quite bad. maybe its just our country la, tbh. thats why go their warehouse showroom. then see what they clearing and they can check the stocks also. i think scanteak one is here 60 sungei kadut dr, 729569 picket & rail 25 tagore lane s787602",2016,0.0,0.924,0.076,-0.5849
12,"the worst was at hn when i was trying out beds, the guy asked where our house was and very quickly moved on to the most ridiculously priced beds. i then quickly left the shop.",2016,0.0,0.82,0.18,-0.7778
13,hello! im about to receive my card soon! i am going to get some scanteak furniture from isetan scotts. is it under departmental store to get 10x? thanks alot!,2017,0.123,0.877,0.0,0.5826
14,"hi takesflight, we have recently reviewed this merchant and will be adding isetan to the list of eligible merchants to receive the 10x ocbc$. do drop us a pm if you need us to check on your transaction. ^dg",2017,0.0,0.946,0.054,-0.2732
15,"is solid wood furniture. like scanteak, namu wood furniture, wihardja furniture, picket and rail worth it?",2021,0.316,0.684,0.0,0.6124
16,"personally i think furniture like console with cabinet, desks and dining table should go for solid wood. others like window side or pedestal cabinets can go for compressed wood if you intend to replace in future.",2021,0.171,0.829,0.0,0.6808
17,"may i suggest to those going to ikea for their wardrobes : - keep the width to 60cm - esp if you are buying the budget ones with thin shelves - avoid the flimsy mdf shelves, these will flex easily ready made ones from scanteak or other companies using real wood aren't a lot more if you want cheap and good. better custom made ones use thick plywood or solid wood ($$$). the other option is from ximula or alumix. they can take pretty heavy weights and the budget version is quite affordable.",2020,0.174,0.804,0.022,0.9163
18,"just to add: dont place ikea wardrobes under the aircon unit. last time, my aircon leaked and water dripped onto wardrobe. the wood bloated... changed to rosewood furniture, water proof",2020,0.0,0.927,0.073,-0.3182
19,"are ikea quality so bad? looking to get one of their customized wardrobe (pax - https://www.ikea.com/sg/en/p/pax-war...ite-s69180598/ ) and the wood they used: materials wardrobe frame particleboard, fibreboard, particle- and fibreboard with honeycomb paper filling (100% recycled paper), paper foil, laminate, melamine foil, plastic edging, plastic edging are those decent enough or got other better ones out there?",2020,0.048,0.872,0.08,-0.4499
20,"since you already have tk, can try the one sold by scanteak, it's even cheaper. don't know why, i feel it's too soft so din't take that. maybe it's psychological. emailed scanteak and they say their foam is also made from dunlop process. it's 3in latex top vs 4in latex top from tk.",2018,0.067,0.933,0.0,0.3818
21,scanteak furniture good ? those scanteak look alike from taobao also not cheap leh,2016,0.195,0.805,0.0,0.4404
22,i m look at it too... if my budget allows i will buy these... but not sure anyone got buy not thou...,2016,0.0,0.88,0.12,-0.3491
23,scanteak is good but its not cheap.,2016,0.245,0.755,0.0,0.2382
24,"i saw scanteak bed frames like not bad, but their cupboards really cmi..",2016,0.269,0.731,0.0,0.397
25,eh i dun like scanteak sell dun sell in a bundle. everything individual. ask for a dining set with 4 chairs and 1 bench table 1.6m cost 2477. can die.,2016,0.085,0.782,0.133,-0.34
26,their tv consoles pretty neat too.,2016,0.608,0.392,0.0,0.7351
27,scanteak???,2017,0.0,1.0,0.0,0.0
28,second hand is a good option otherwise ikea and scanteak sell affordable solid wood frames,2021,0.412,0.588,0.0,0.7717
29,"i am looking for a teak wood wardrobe... so far saw one at scanteak and i'm wondering if there are any (preferably better) alternatives? checked many teak wood seller websites and they don't sell wardrobes... most of them sell tv consoles, dining tables or bed frames. any suggestion or alternative would be greatly appreciated. thanks!",2016,0.122,0.878,0.0,0.7943
30,can try widharja. did you check out tan boon liat building? a couple of furniture shops there.,2016,0.0,1.0,0.0,0.0
31,"if you are a fan of teak wood, there's actually two scanteak outlets at balestier. one at pegu road while the other is nearer to the thomson medical side.",2015,0.078,0.922,0.0,0.3182
32,"can try mylatex, scanteak's latex, etc. got people ordered from malaysia and send it over in previous page.",2018,0.0,1.0,0.0,0.0
33,how much for queen size,2018,0.0,1.0,0.0,0.0
34,"if solid wood is best, maybe companies like scanteak and their direct competitors should set up new department specialising in hifi stands.",2020,0.304,0.696,0.0,0.8074
35,"err, i'm talking about racks bro.. a simple stand made of wood will be a terrible idea. the wooden stands have a complex construction. you don't need a special tv rack, but the materials do make a difference. hi fi racks are built for solidity, and also circulation.",2020,0.0,0.918,0.082,-0.3977
36,"checking out picket rail what about brands like castlery,fortytwo?",2016,0.238,0.762,0.0,0.3612
37,"oh hong liang. we spent more time with the nice lady at aik leong. will check out hong liang. today we spent some time at this place called wihardja, selling mainly teak furniture. anybody bought from them? their pieces seems interesting and cheaper compared to scanteak, but quality probably not as good.",2016,0.067,0.877,0.056,-0.0923
38,"getha is full latex afaik and that makes it very expensive and maybe very soft. you don't need full latex, you can have a latex top with spring, that should shave the cost by half. different brands will use different springs with different firmness. there are many brands but of course which is a good brand using really pure latex is another question. more affordable brands are scanteak, maxcoil, mylatex, tilamking, etc.",2018,0.072,0.928,0.0,0.6428
39,so does getha full latex price range belong in the same category as mylatex since it's also my-based? the major difference between mylatex tara series is like half the price of eb's heveya series.,2018,0.07,0.93,0.0,0.3612
40,scanteak ish goot quality!!! i oso jin tempting.,2016,0.0,1.0,0.0,0.0
41,"where did you people buy your dining table and study table? i was initially eyeing a dining table from acebed but they no longer sell them. luxuriant furnishing's stainless steel table was something my wife like but too ex and not happy with warranty on tempered glass. maybe will have to switch to nova or starliving for their tables. more affordable. for study table, maybe scanteak. they have some fair this weekend in henderson road with some discount.",2016,0.073,0.847,0.08,-0.1523
42,"quote from the internet: plywood is comprised of glued layers of hardwood about 3/32 thick. it will usually be 7 to 9 layers so that its final thickness is about 3/4 inches. when exposed to medium to high levels of moisture, plywood will experience little warping. it also can be exposed to moisture cycles (low to high repeatedly) without showing significant warping or swelling. of course if your kitchen is in a humidity controlled environment, then fluctuations in humidity may not be pose a problem. for ""fine"" furniture, solid wood is preferred when the beautiful wood grains are exposed. you get to play around with woodworking joinery methods, nails and screws are usually avoided... getting to choose your preferred kind of wood etc when you go to the usual solid wood furniture places like scanteak (lowrange) or condehouse (highend), things to note is the workmanship or craftsmanship*, open and close the drawers, run your hands and caress the tabletop... this image has been resized.click to view original image",2016,0.094,0.863,0.043,0.8769
43,2m too long will cockblock my door lol 175cm max there's only 1 table that is 170cm at ikea but its dining table lolol... just gonna settle with bekant 160cm...need decide l or straight,2020,0.124,0.876,0.0,0.5023
44,"gxgx bro! not bad so many stuffs for only $1.7k+ actually there's one scanteak at paya lebar only, u shld shun bian go there as well.",2016,0.186,0.814,0.0,0.6419
45,scanteak one dining set will be abt 1.7k liao,2016,0.0,1.0,0.0,0.0
46,yolo~ here 1.7k like $17.,2016,0.385,0.615,0.0,0.3612
47,i already aim their bed frame for masterbed room lol... $1399 pm if you need pre wedding photography! hardwarezone forums app,2016,0.0,1.0,0.0,0.0
48,"tried slumber land's arcadia and marisa. heard they are the new models. the latex top is a mixture of wool, don't know why, don't like,got what infra red technology which sounds like gimmicks. price is around 1.7k. went to tilamking, their 4 inchlatex plus pocket spring is 1.7k, feel is okay. there's another ergo range, it's 1.1k iirc, the firm type. feels good for me but i don't like pu foam. went to scanteak, they have their own latex and a german brand. their latex is from malaysia. got one mattress with about 3in thick of latex with spring, is 1.4k. price imo is acceptable but don't know why feel it's too soft. they also have full latex. 6 in iirc is $2.4k, 8 in is 2.9k. they have this german brand the sales claim to be very green and good but pu foam how can it be healthy. went to google but can't find any info about that german grand and technology. heard firm mattresses are for 85kg and above. any good brands for latex plus spring? can't find my latex anywhere and their website don't even reply. is there any place to try near central or south sg? i don't want memory foam or pu because they degas toxic.",2018,0.155,0.839,0.006,0.9844
49,try dreamland mattress? latex. made in msia. bot 1 in tradehub21 there,2018,0.0,1.0,0.0,0.0
50,"tried them at hn and quite pricey, not sure if it's pure latex top, don't feel so to me for those in the affordable range. mattresses are suppose to be replaced once every 6-8 years. so not sure if you really wish to fork that amount every time. research shows that replacing the mattress regularly provides the best support to the back as the mattress will sag or the springs will lose its dexterity. i was looking for latex top too, scanteak was selling at $14xx, tilamking $17xx. 65% of the rubber in the world comes from south east asia, the rest mostly from asia like india and vietnam. don't make sense to me to get an european brand for latex, most likely they will need to import the latex, process then export, adds up to cost for nothing. malaysian or indonesian brands are cheap and good, lucky singapore happen to be right beside both of them.",2018,0.125,0.834,0.041,0.9266
51,"hi! i have been happy go lucky see see look look at this moment till top. had visited furniture mall at beach rd (note: all shops would be shifting to akira building this year soon), trade hub 21 at boon lay way, ikea alexandra. brand names like scanteak has good lasting sofas and solid bed frames. weiken.com interior design offer plenty of ideas. so why not go jalan jalan first and get some fresh ideas. i will share with you all any new places of interest if i find any.",2012,0.228,0.772,0.0,0.9642
52,"hi there thanks alot for sharing ideas & place of interest... wow.. went ""shopping""/jalan jalan around liao... great ideas to look around to find new ideas.. scanteak: pretty good... if you're fan of solid wood furnitures... we have a few piece of furnitures from them ourselves for years liao.. ec/condo showroom: we can also pop to some of the ec/condo showroom to get some ideas too.. even if their floorplan & design maybe not suitable for trivelis size but then you can still try to pick up some small bits & pieces of ideas here & there too.. something to share with: bedframe it's better to get a soild wood bedframe as you don't want to have yr bed crash down the floor in the middle of the night while you're sleeping.. this happen to one of my friend's little kid where whole bed collapse in the middle of the night.. lucky their dog is not under the bed that time if not sure gone case...",2012,0.121,0.815,0.064,0.8006
53,"scanteak, tilam king and many brands have latex top, just that most cost at least two times more.",2018,0.096,0.904,0.0,0.2023
54,any particular reason why you got tilam king as compared to carson or other alternative you tried?,2018,0.0,1.0,0.0,0.0
55,any recommendations for king bed frame divan style non storage with flat base around 1.5k or less? went scanteak didn't like the look of their frames.,2019,0.0,0.922,0.078,-0.2755
56,"our offline purchases as the saying says.... bbbmtl! (buy buy buy mai tu liao!) especially when there is a sale... since there is not much of a difference if you buy now or later... since there is a sale... might as well! especially if it is a necessity and not want for your new home. for furniture, since ours a mainly a scandinavian theme, we go for mostly pencil leg furniture... which makes our living space looks bigger. tip: - sign up for robinson ocbc card, it will be very useful especially the additional 5% cash rebates + close door sales for members! - takashimaya vouchers is very valuable as it has no expiry date! so store it for your new home purchases! any other vouchers like robinsons voucher also very valuable to save further for your home needs purchase. furnitures: 1. comfort design furniture - http://www.comfortfurniture.com.sg/ we find their prices slightly more competitive than castlery. quality wise is still very decent for this price. we bought our sofa set, dining table set (bench + 2 chairs), small coffee table. 2. scanteak - http://www.scanteak.com.sg/ this is more of a want... as i quite love the solid build of their furniture, so decided to splurge on their bed frame for the master bedroom and also a small sturdy table that is on sale to hold my dry cabinet of my precious camera equipment. 3. muji - http://www.muji.com.sg/ my wife love their stand mirror (full length), since we got a $30 313 voucher which we got from the purchase of a sony tv, might as well! 4. robinsons - http://robinsons.com.sg/ we missed out on their black friday sale to purchase their simmons backcare 4 series mattress which goes as low as $3.2k after discounts and members rebate as my friend's card limit wasn't enough, and that pushes me to go apply the card myself lol. we placed a $200 deposit with robinson bedshop (look for sheila if you want to purchase simmons mattress) at their heeren branch. this effectively locks their price (which ever is lower when there is a promo). so as of now we are still waiting for their additional 10% card member rebate... we also bought loads of other stuffs which i will cover later below. 5. inkagu - https://www.inkagu.com/products/shin-ju-mattress always see their special price mattress ad on facebook and since it cost only $299... so bbbmtl, this is for our guestroom. 6. ki-mono - http://www.ki-mono.net a pity they are closing down... they have very nice japanese theme furnitures which we can match our scandinavian theme. we bought a rack for kitchen use and also a clothe rack at very attractive closing down sale price. appliances: 1. sony store @ 313 just happens so... my buddy's wife works at sony so yes! we can get staff price. bought sony tv kdl-55w800c at $1.2k+! cheap right? 2. heritage bathroom gallery ironically we didn't buy any bathroom stuffs from them but bought from them a fujioh hob & hood set and bosch oven ($50 cheaper than other shops we went!). 3. gain city initially we wanted to buy our electrolux washing machine & dryer from paris silk but they cannot hold stock for us too long... so in the end we went to gain city to buy from them. price slightly higher than what was quoted by paris silk. 4. tim wong (aircon) from renotalk - for our mitsubishi starmex (2 tick) air con 5. mega discount (kallang leisure park) - https://www.megadiscountstore.com.sg/ initially we are eyeing a hitachi or mitsubishi refrigerator but after the sales person show us what a samsung fridge can do and the build quality + door test... we are sold! just hope that it doesn't *chibaboom* later! lol 6. robinsons used my wife's vouchers ($350) to buy zojirushi induction heating rice cooker np-hbq10 which is at promotion price $489 but we only paid $139! got a free rice stocker as well. 6. philips carnival sale (once a year!) bought some stuffs during the sale last year, steam garment iron + iron + toaster + kettle. 7. aosbath - https://www.aosbath.com/ bought a 40l digital model storage heater (ao smith) for convenience and electricity savings. 8. ht lighting (johor bahru, permas jaya) - http://www.htlightings.com/ bought ceiling fan aeratron ae3 50' light oak color for 1480rm, sg selling this for $1099 sgd! if anyone need their sales contact number (via whatsapp) to check price before going in to buy let me know! others: 1. hansgrohe we bought a bundle deal during their warehouse sale last year october. we was given a 25% voucher which we went to buy additional tap and shower set for the common toilet. 2. robinsons too many things to buy here especially kitchen use... le creuset, wmf, corelle, lock & lock, bodum, bedsheets etc during their member or public sale! we also make use of my wife's citibank redemption of robinson vouchers as well. i also got my ns voucher which i am keeping to buy the simmons mattress haha 3. takashimaya i accumulated $230 voucher prior to this... bought a tefal air fryer on promotion at $279... so we only paid $49 for it lol 4. ikea bought their pull out cabinet to be integrated with our kitchen cabinet. also bought accessories for kitchen use. 5. hoe kee they are the only one carrying blanco brand for kitchen sink in sg, so not much of a choice! 6. big bath (johor bahru) -http://www.bigbath.com.my/ since we went to ht lighting to buy ceiling fan, drop by here to bought some bathroom accessories from them, automatically given discount without asking haha. let me know if you need any details of our purchases above. too many purchases to go into detail here",2017,0.091,0.895,0.015,0.9969
57,bought all these in a set from scanteak.1.8k. very expensive.,2016,0.0,1.0,0.0,0.0
58,hi do you know exactly where is the shop in alexandra village selling mylatex? thx!,2018,0.166,0.834,0.0,0.4199
59,"getha only sell pure latex. i tried mylatex at a shop in imm, it's inside this shop that sells a lot of furniture. scanteak also has a latex top and iirc it's selling at ard sgd1500. latex + springs should be around below $2k. pure latex is around 3k onward, depending on how thick is the latex.",2018,0.034,0.966,0.0,0.2023
60,"i read that there is another brand of full latex mattress: willow mattress, any review on this? besides scanteak and castlery bedframes, i also found out about this namu wood furniture, anyone bought from there before?",2019,0.0,1.0,0.0,0.0
61,"hi bro, willow is 18cm/7"" thick. hard time finding that info, its under the faq subsection. for a thailand made latex 7"" at 2449 for queen, very very very very over priced.. at that price point rather get the belgium made. i personally think thailand made full latex are very similar to malaysian made, considering bro calkel bought getha 30cm at similar price point.... no reason to get willow. namu wood seems to have good reviews on google too.",2019,0.036,0.919,0.045,0.0772
62,"scanteak, commune",2021,0.0,1.0,0.0,0.0
63,"scanteak dining table chair. tough and good. 6 years still going strong, and no dandruff(flaking) problems like those ""gaming"" chairs. ;-)",2017,0.355,0.432,0.213,0.6486
64,"just peasant nia... my only luxury in the house is my simmons mattress, scanteak bed frame, hansgrohe shower set... the rest all normal normal",2016,0.0,1.0,0.0,0.0
65,"actually i start to wonder that testing long enough may also not tell much. because if your existing bed is of a specific kind of firmness and you are used to the positioning. when the bed you try is somehow very different in its support and texture. one may feel uneasy and dismiss as it's not suitable. when i first got the latex mattress, i initially tot that the old one felt more comfy. overtime, the body used to it liao. i kind of regret though, because i couldn't find mylatex to try initially. i bought the tilamking one. if i could choose again, i would had tried the full latex ones first before deciding. not that i mean tilamking one is not good though, i think they are very well made. just that the price is not far from a mylatex's full latex. you can find the mylatex range here http://myaerofoam.com/en/collections/mylatex/ take note the range sold in sg maybe different but the above link can give you a rough idea what to expect. if i'm not wrong, most full latex can flip, meaning you can use for a longer time. better verify with the sales regarding this. the scanteak one imo is very soft and it's not even talalay. i think more to do with the spring resistance. if you are very light, maybe it's better.",2018,0.065,0.91,0.025,0.8758
66,"depends on which part of the house you want to set up. in china and india, i still see ppl using solid wood. in taobao, some shops will tell you the natural finishing they use. not sure are they reliable though. scanteak all these sell solid wood furniture. if you really need to buy in sg those rtm cheaper solutions. particleboard release the most voc, followed by plywood then butcher blocks. rattan wood furniture are strong and good, not expensive. imo they are very good for sofa frames. kitchen is harder but kitchen should always be airy, those fumes from stir frying, braising all release carcinogens to the air. that's why many house wives got cancer. maybe the kitchen top use tiles or stainless steel. most contractors cut cost by using the cheapest material.",2015,0.102,0.808,0.09,-0.4851
67,that means no custom carpentry cabinate for kitchen and also wardrobe? since most of the time the carpentry use either soft plywood or hard ply wood. the voc from plywood is from the chemical use to process of glue the plywood together?,2015,0.0,0.91,0.09,-0.4515
68,if u like wooden one can go scanteak see see but request for a flat base,2019,0.119,0.881,0.0,0.1901
69,"unfortunately due to heighten demand, most of the work chairs and tables are marked up quite a fair bit. i recently got a chair from progress health (orthoseries iv)for my work from home purpose. i was fine with my old scanteak chair back then, but prolong sitting with the computer table being slightly elevated makes it uncomfortable after few months of working from home. the chair certainly help bumping up the seating height and arm rest. if you can wait, then perhaps wait for the 9:9 sales to get one.",2020,0.122,0.812,0.066,0.6593
70,today went scanteak buy dining table and chairs. whole set 1.8k.,2016,0.0,1.0,0.0,0.0
71,peekture please!,2016,0.722,0.278,0.0,0.3802
72,"good mattress is one without memory foam especially not on the top (because of heat and voc, webmd says not suitable for babies too), the more funny layers there is the more foam you are getting so the more easier to sag. general natural latex full or with pocket spring is best desired. cooling natural fabric is good. cooling gel on top is no good (chemicals) many asking about jb mylatex's full latex but like nobody bought any, got one bro bought from sg on qoo10 the tara model, shop name is medalion (maybe spell wrong). to skip mylatex carson (search few pages back to know why) good place to search for mattress and furniture is furniture mall and imm. in imm you will also find the maxcoil shop that alot of bros here bought the jardin or royal brilliance. myself included. it is better to buy the frame with the mattress as there is normally package deal. if you buying wooden frame make sure there is no gaps at the base aka slatted base. popular for wooden frame i think is scanteak and castlery. ++ attention bros that haven't payment finish at the imm maxcoil shop, other than grabpay now they accept paywave. used my uob ppv for 1k deposit. 4000 miles into pocket",2019,0.18,0.791,0.029,0.9883
73,thx bro. appreciate the post. btw are memory foam really that bad even if there's some cooling material on top? i using memory foam pillow and they are quite comfy. not sure how it would feel on the entire body. looks like i've gotta make a trip to imm.,2019,0.168,0.726,0.106,0.3603
74,"i went to a showroom before, 1.8k for a latex hybrid. i will avoid such hybrid. latex is already cooling and natural, why bother with these types of blended material that mix latex with other fillers to lower the cost. besides being cooling, latex is natural and release almost no toxic fume. getting synthetic material is defeat the purpose. not only mylatex, can try scanteak, tilamking, maxcoil, etc. no need to be too obsessed with the brand. i don't see alot of ergonomics in mattress that can fit everyone and every sleeping position. i think the firmness of the spring will play a more important role. different body weight will require different firmness.",2018,0.098,0.761,0.141,-0.5035
75,"actually latex is just a premium material as in less voc, more cooling, etc. it don't really mean the support is better. i will suggest a firmer bed. a full latex bed might not be recommended since it's quite soft. even my 3 in latex top, imo is too soft. maybe 2 inch with lesser latex padding and closer to some firm springs might do me better. i will personally suggest that you go try all the latex + spring, those sea brands should cost less than 2k. then see which one is firmer, as in your butt won't sink in as much and curl you back too much. brands that were mentioned here, are mylatex, bayshop, tilam king, magic coil, scanteak, etc. if you are sleeping with a spouse, who might suffer from a bed that is too stiff instead. you may want to put a bamboo mat on your side, cheap solution, but it works.",2018,0.066,0.91,0.023,0.5478
76,"novena , full house , vhive , courts furnitures quite sianzzz wan. u never look scanteak? but they have too much wood based design so not suitable for me.",2016,0.0,1.0,0.0,0.0
77,"their storagebed is one of the best i have seen so far, but i didn't buy it as i am thinking to reuse my old frame. it is generally cheaper to buy with a bundle. if u plan to go with storage can go with theirs. however whether u want a hydraulic storage bed is entirely dependent on whether u have the use for the space below, some say its easier to get frames with leg for easy cleaning under the bed. personally i rather not have legs so won't see don't see and no need to clean lol... but if ur furnishing requires wooden frame then u have to look elsewhere, most peeps would go to scanteak castlery etc to find wooden frames, there's a lack of those in imm if u are interested in one. most importantly remember whatever frame u buy always get one without gaps at the base which is very common in wooden frames. even if it is fully wrapped with leather or fabric try to press and feel if it is slatted under the exterior. if u get slatted base ur warranty will likely be voided base on experiences of many.",2019,0.121,0.864,0.015,0.966
78,saw this king koil ultrapedic plush for 1.9k (queen) including customizable (non-storage) bed frames. was told 'hotel feel'. seems like a good deal? just that the bed frame doesn't really match with the id. was thinking if should check out scanteak mattresses too and bed frames instead.,2014,0.109,0.891,0.0,0.6597
79,all cmi one. might as well get the day bed from scanteak.,2016,0.16,0.84,0.0,0.2732
80,happy can liao. u build a home sweet home for ur self. so u must satisfied the things u buy and design.,2016,0.395,0.605,0.0,0.8683
81,"wow! finally someone who went to all the shops i went to. for dormiente, was the one you tried the one where u could split the mattress into the male and female one? i remember the 18cm version was their classic range. the lady actually introduced the 23cm range with the horsehair? for me as she said i was slighty heavier (90kg heavy to german company meh... ) you are right to say 18cm is on the thin side though but i would say with a full latex mattress that is unlikely to affect the feel or performance of the mattress. from her explanations i also heard they had a coconut coir version used in their firmest bed, if u were looking at that version, i would strongly suggest going without the coconut (again) with european bedding i was actually looking at heveya 1, the one with only 1 layer of latex. this solely based on my personal logic that if i do use different layers of latex they must be varying densities which makes my money less worthwhile if i get lower density one . i remember this is 19cm high, still abit low. but the price range also on the lower side. i ultimately decided with european bedding over dormiente as i done some research online and found that the latexco company was alot more renown and seems to be the largest latex mnc that even have plants in usa. i was also slightly skeptical about the horse hair on the dormiente tbh. at the imm shop, actually i tried the maxcoil relaxer which was their latex mattress first and that was what i shortlisted. it didn't have the fanciful 7 zone latex like the 2 brands neither was it organic latex (although i personally think natural is enough, organic probably doesn't matter since not food..) but the price also more attractive obviously. this one was a 25cm so actually more good height for us. the very friendly guy then told us to try the royal brilliance, said it was their best selling model. if u followed my post u would have known for i actually only look at full latex mattress... but eventually the feel of the mattress was good and convincingly enough that the 4"" of latex at the top is good enough (this time i was called average weight hahahahah). more importantly the latex is also made by latexco so they were actually similar to what i saw at european bedding, plus the info presented on the mattress were similar. honestly if u ask me, i would only choose between the heveya 1 and royal brilliance. (my wife doesn't like the maxcoil relaxer for unknown reasons). u would have seen another bro chaos that had booked the relaxer but seems his partner also like royal better ************************************ as for hilker, i do remember searching on it being a malaysian company licensed from the germans. so the price doesn't make sense at all. for the frame, i would reccomend not getting from dormiente or european bedding. afterall they are latex producers not wood company... u may be better off with scanteak or castlery etc for wooden frames? any idea btw if the aussino is like the old aussino or they sell completely diff stuff now? think they disappeared for a long time",2019,0.16,0.808,0.032,0.9978
82,oh yes and our long talk on frames shouldn't have slatted base and how someone's full latex mattress sagged on a wooden slatted frame.... hahahhaa. by the way scanteak actually offers to change their wooden slat base into a full piece of ply. just for anyone's info,2019,0.058,0.942,0.0,0.4019
83,"for getha peeps, i got a transforme plush written as full latex. do check out of course. there is a full latex block as well, but damn soft, we sleep, macam sink in. mine is full but of different density.",2019,0.038,0.828,0.134,-0.6059
84,why not teak? :p,2019,0.0,0.596,0.404,-0.2584
85,bro just curious. any reason why you didn't consider getha or mylatex?,2019,0.173,0.827,0.0,0.3182
86,"for dormiente, i was not served by the owner but a new salesman who just joined the company. the 18cm one is indeed the one which has 1 side each for male and female. i was also introduced to the 23cm one which i think is the one u mentioned it with the horsehair. it seems to be more comfortable but it is around 2k more than the classic range. for european bedding, we didn't tried heveya 1 as the sales person (i think he is a part-timer) mentioned it is typically for younger crowd, so we only tried heveya 2 and 3. for hilker, i tried to google and it seems to be a legit german company but they do have cooperation partners in malaysia and taiwan. i guess we probably have to go back try again as it can get really confusing when buying a mattress. overall, we were quite impressed by the sales person from hilker, dormiente (tho he is relatively new to the company but not the industry) and unispring. they seem to be very knowledgeable and also taught us what to look out for when selecting a bed and not hardselling or pushy. we will probably drop by scanteak and castlery as the price of the bed frames seem to be more reasonable. kind of strange tho that both dormiente and european bedding selling bed frames with slatted based (tho the gaps for slatted base may be smaller than the usual slatted base in other wooden frames) i wonder now if it is easy to find eu queen bed frames and bedsheets in singapore . i have not been to the aussino store at hbf so can't really comment much. lastly, @pacificstorm and fellow forumers, thanks for sharing, have learnt quite a lot from all the posts in this thread.",2019,0.075,0.899,0.026,0.9518
