,comments,Positive,Neutral,Negative,Compound
23,"I’m planning an overhaul reno & passed by this shop. Xifei was really helpful with enquiries & ideas despite busy with others, always checking back to & fro but leaving spaces in-between for my thoughts & comfort.",0.097,0.903,0.0,0.3241
24,Just bought a sofa set and mattress from Raye. She was very detailed and patient in giving recommendations.,0.1155,0.8845000000000001,0.0,0.17
25,Good service and sales personnel (Xi Fei) very friendly and helpful.,0.531,0.469,0.0,0.8425
26,Very friendly and patient staff. Solid teak wood. Got a free treat of coffee and pie today at their promotion event. Looking forward to having their furniture in my house.,0.32125000000000004,0.67875,0.0,0.3532
27,"Decent quality items delivered on the day as agreed. Staff was helpful enough and as they were having a great discount, I wasn’t disappointed.",0.27649999999999997,0.646,0.0775,0.42955
28,We were served by Chris whom was very helpful in giving us his advice on the possible furnitures we can purchase for our future home. Do look for him if you wish to buy furnitures from Scanteak.,0.1985,0.8015000000000001,0.0,0.54905
29,Chris is very patient and helpful. Beautiful stall and nice staff.,0.509,0.405,0.0855,0.58995
30,"I was serve by Raye. Very happy with her service n she made some very good recommendation after knowing my needs n interest.
JParry Sim.",0.143,0.857,0.0,0.28950000000000004
31,Good choice of dining tables.  Very helpful service by Xi Fei who gave us good recommendations.,0.384,0.616,0.0,0.5206500000000001
32,Friendly service. Good value,0.881,0.119,0.0,0.5466500000000001
33,Xi Fei was an excellent sales. Good job.,0.5695,0.4305,0.0,0.46655
34,"Staff are very attentive, explained the functionality of furnitures that suits our needs",0.0,1.0,0.0,0.0
35,Thanks for Joanna helping me to buy all the furniture for me.,0.338,0.662,0.0,0.6249
36,Positive and genuine salesperson. Recommended.,0.7725,0.2275,0.0,0.37985
37,Nice place for solid wood shopping! The staff is friendly.,0.528,0.472,0.0,0.5323
38,Joanna is responsive & helpful..Had a great experience,0.623,0.377,0.0,0.765
39,Clarice and Chris are friendly and helpful. Thanks.,0.7725,0.2275,0.0,0.5794
40,Good and attentive sales person -  Raye,0.333,0.667,0.0,0.3612
41,"Bought and paid full items (16 Sept) as they promise to deliver by 28 Sept. They came in at night time with all items broken while still inside packaging. Wth! Today is Oct 4 still undelivered!
Very bad costumer service! They promise again …",0.11266666666666666,0.5923333333333334,0.295,-0.17233333333333334
42,Thanks for the great service raye!,0.646,0.354,0.0,0.807
43,Nice showroom and Raye service was excellent!,0.576,0.424,0.0,0.7777
44,"Quality furniture, great promo for 1010!",0.468,0.532,0.0,0.6588
45,Excellent service by xifei.,0.552,0.448,0.0,0.5719
46,Good service and shopping location,0.385,0.615,0.0,0.3612
47,Great service and selection of furniture,0.451,0.549,0.0,0.6249
48,Good service by Raye.,0.455,0.545,0.0,0.3612
49,Good service from Chris.,0.455,0.545,0.0,0.3612
50,"Walked in shop at 8:37pm on a thursday night and was greeted with ""excuse me, as we are closing shortly at 9pm, pls tell me how can i help you?!",0.118,0.382,0.0,0.32985
51,Great service at the outlet!,0.523,0.477,0.0,0.6588
52,Great service by Raye!,0.594,0.406,0.0,0.6588
53,Good experience and service.,0.455,0.545,0.0,0.3612
54,Pleasant service by Rae,0.524,0.476,0.0,0.5106
55,Good service from Raye,0.455,0.545,0.0,0.3612
56,Good service,0.714,0.286,0.0,0.3612
57,Good,1.0,0.0,0.0,0.3612
58,Nice teak furniture with a polite and helpful staff,0.483,0.517,0.0,0.6808
59,Clean and neat showroom. Thumbs up,0.37,0.63,0.0,0.3454
60,You'll have an fantasTEAK experience here.,0.0,1.0,0.0,0.0
61,"Scanteak Fishing stool broke in June 2020 after 1 week of usage. I fell when the stool gave way suddenly. They sent replacement and did not ask how serious was my fall.

Replacement broke this week. I fell again because the stool gave way …",0.02,0.8396,0.1404,-0.15716
62,Good customer service,0.556,0.444,0.0,0.3612
63,"Nice setup, helpful staff. Good value during the year-end sale. Thanks for helping us Lillian!",0.6436666666666667,0.35633333333333334,0.0,0.6463333333333333
64,"I was served by Grace. She is truly sincere, friendly and very patient. I love this outlet and will recommend my friends and relatives to her.",0.5383333333333333,0.46166666666666667,0.0,0.6949
65,my wife found her teak furniture when we were at Henderson outlet. The price was reasonable and within our budget. My wife was real happy.,0.16033333333333333,0.8396666666666667,0.0,0.19063333333333332
66,"Was my first time to Henderson Scanteak, products were well displayed and good. Was assisted by Chris who was very helpful and even helped us with our furniture decisions.",0.23299999999999998,0.7669999999999999,0.0,0.5164
67,Very friendly service. Good quality products. Personnel very helpful.,0.5996666666666667,0.4003333333333333,0.0,0.4593
68,Grace was really cheerful and helpful with our questions and requests. Been to a few scanteak shops but this was e best sales experience fr so far.,0.42800000000000005,0.572,0.0,0.8212999999999999
69,Found really good furniture pieces at solid prices! Staff were also friendly and helpful.,0.519,0.48100000000000004,0.0,0.64405
70,"I received very good, efficient service and there is a good product range. Nice showroom!",0.638,0.362,0.0,0.6504
71,"Assisted by Choy Har , there was a table that was only available in another show room and we wanted to see how it matched with the chairs. She asked a colleague to put the set together in another show room and sent the photos to us. Excellent service",0.26233333333333336,0.7376666666666667,0.0,0.19063333333333332
72,"Thumb up 👍
Service is super good and scanteak staffs are friendly . Furniture are super solid NICE 👍",0.6819999999999999,0.318,0.0,0.8520000000000001
73,Friendly and nice staff with lots of variety to choose from. Great experience.,0.6020000000000001,0.398,0.0,0.6716500000000001
74,"The showroom is customer-friendly, kids corner available. The staff Grace knows her products well.",0.2475,0.7525,0.0,0.2997
75,"Friendly staff, efficient service. They offer attractive designs.",0.621,0.379,0.0,0.5794
76,"Good customer service, patience and attentive. Good quality and good promotion.",0.479,0.521,0.0,0.4868
77,Grace was extremely helpful and gave very candid feedback on what is good and which may have design flaws. Loved the experience with her,0.419,0.581,0.0,0.7058
78,Lovely n helpful staff. Buying 2nd king size bed from scanteak premium range.,0.434,0.5660000000000001,0.0,0.3825
79,Scanteak is my absolute favourite furniture brand with top notch quality and customer service!,0.139,0.861,0.0,0.2714
80,Very good service . Customer support officer Grace was very helpful . Thansk,0.4216666666666667,0.5783333333333334,0.0,0.4140666666666667
81,Great service and range of products! Highly recommended!,0.5865,0.4135,0.0,0.49775
82,friendly staff and cosy showroom with free coffee and snacks while browsing. good experience.,0.554,0.44599999999999995,0.0,0.55955
83,Look for great and friendly Chris to purchase your furniture. 👍👍👍,0.2385,0.7615000000000001,0.0,0.4037
84,"Good service from the staff, Chris .
Thanks for his recommendation.",0.4125,0.5875,0.0,0.40080000000000005
85,Chris is very helpful and patient with his explanation.,0.279,0.721,0.0,0.4754
86,Polite staff introduced me around.,0.0,1.0,0.0,0.0
87,Great product quality and staff are friendly and helpful.,0.627,0.373,0.0,0.8779
88,Very good quality and services,0.411,0.589,0.0,0.4201
89,Very nice products and good service!,0.595,0.405,0.0,0.7082
90,Very friendly and helpful service by Chris.,0.567,0.433,0.0,0.762
91,Great service.. friendly staff,0.785,0.215,0.0,0.8074
92,Served by chris! Really helpful!,0.386,0.614,0.0,0.2622
93,Great service and friendly staff!,0.717,0.283,0.0,0.8221
94,Excellent service from Lilan.,0.552,0.448,0.0,0.5719
95,Nice set of furniture and a knowledgeable sales person there. I like their furniture.  Quality furniture!,0.27166666666666667,0.7283333333333333,0.0,0.2609
96,"Friendly staff, good service and professional",0.588,0.412,0.0,0.6908
97,Good service.👍,0.714,0.286,0.0,0.3612
98,Staff are knowledgeable and helpful with product introduction,0.286,0.714,0.0,0.4215
99,"Good service, by chris!",0.482,0.518,0.0,0.4199
100,Grace was very helpful!,0.756,0.244,0.0,0.7339
101,"Good service, nice ambience",0.726,0.274,0.0,0.6486
102,Conveniently located with ample car park space,0.0,1.0,0.0,0.0
103,Good quality furniture,0.556,0.444,0.0,0.3612
104,Good service on items,0.455,0.545,0.0,0.3612
105,Convenient and friendly staff,0.516,0.484,0.0,0.4939
106,Fine furniture at Scanteak.,0.375,0.625,0.0,0.2023
107,Ok,1.0,0.0,0.0,0.296
108,"Very disappointed about my recent purchase. I purchased the so-called designer range Mono chair 2 weeks ago, after careful usage for for less than 2 weeks, found the chair top surface got scratched badly by the zip head of the original …",0.0775,0.6785,0.24400000000000002,-0.18624999999999997
109,"Mostly a very nice showroom with their entire range available to view. I liked the range a lot.

Showroom is a little cramped in places, so a bit difficult to view from a distance, though in this, it's still better than many other places. …",0.207,0.517,0.026,0.232075
110,"Melvin was very helpful and offered us advise while we were trying to decide which sofa and coffee table to purchase. He was also very patient with us when we were going around, back and forth on our decision. Great experience!",0.3163333333333333,0.6836666666666666,0.0,0.37806666666666666
111,I entered the showroom and was warmly greeted by Carol. She was polite and allowed me to browse the items in the showroom before answering my enquires about the pieces on display. She was able to provide useful advice and product knowledge which helped me in buying decision. Great service :),0.3615,0.6385,0.0,0.455675
112,Friendly staff and good service. The product are nice and high quality. Highly recommend.,0.5696666666666667,0.43033333333333335,0.0,0.5107999999999999
113,Helen was very helpful and knowledgeable about the sofa series and gave good recommendations! I’ve enjoyed my shopping experience in this Scanteak shop!,0.3195,0.6805,0.0,0.6322000000000001
114,Carol was very attentive to our needs as soon as we walked through the door and allow us time to make our decision.,0.079,0.921,0.0,0.2263
115,Good service with nice place. Friendly staff with good knowledge of products.,0.5860000000000001,0.41400000000000003,0.0,0.6697
116,Friendly and efficient staff. The furniture all looks very good.,0.554,0.446,0.0,0.56925
117,Carol was very helpful the minute we stepped into the showroom and we were very happy with our purchases.,0.294,0.706,0.0,0.7956
118,Staff here are friendly and make good recommendations for my furniture needs.,0.363,0.637,0.0,0.6908
119,Great design and variety. Showroom is spacious.,0.2885,0.7115,0.0,0.31245
120,The staff were really helpful and knowledgable about the products.,0.256,0.744,0.0,0.4754
121,"Cosy setting, friendly staff who is always ready to help 👍",0.545,0.455,0.0,0.8126
122,very satisfied with the product n service,0.382,0.618,0.0,0.4754
123,Beautiful Showroom with beautiful staff n beautiful furniture,0.745,0.255,0.0,0.9136
124,Nice furniture with good service staffs,0.57,0.43,0.0,0.6486
125,Good and patient service by Melvin!,0.358,0.642,0.0,0.4199
126,Very satisfied with the service n product,0.382,0.618,0.0,0.4754
127,Teakwòod furnirure wih nice design.,0.412,0.588,0.0,0.4215
128,Superb service and good quality furniture!!!,0.321,0.179,0.0,0.40055
129,Very happy with carol n the showroom,0.444,0.556,0.0,0.6115
130,Helpful and friendly staff!,0.759,0.241,0.0,0.7424
131,Great service from Carol!,0.594,0.406,0.0,0.6588
132,Good service experience,0.556,0.444,0.0,0.3612
133,Very comfortable in this showroom,0.473,0.527,0.0,0.5563
134,Friendly & good service,0.851,0.149,0.0,0.6908
135,A great place for quality furniture n quality staff.,0.406,0.594,0.0,0.6249
136,"Was really inaccessible, but great space and furniture all-around!",0.442,0.558,0.0,0.8094
137,Very detailed explanation by Sam. Staff wasn’t pushy and allowed us to have our own moment to decide. We were comfortable when handled by them. Price was reasonable as well.,0.17475,0.788,0.03725,0.12765
138,Great service and wasnt pushy to purchase the products even when they were closing. Value for money for the quality of their products. Will come back again in future to purchase more.,0.187,0.8130000000000001,0.0,0.35026666666666667
139,Recently purchase the cabinet and very disappointed.  The cabinet delivery two times still chip-off.  No quality control.  Don't ever buy your furniture again.,0.0,0.77875,0.22125,-0.20539999999999997
140,Nice furniture selection. Managed to snag a good deal for a full leather sofa ledig. Served by May. Do find her when you are here.,0.19999999999999998,0.8,0.0,0.195675
141,Chris was very helpful in helping us choose the right sofa for the house. There is great designs at affordable price - worth a visit!,0.395,0.605,0.0,0.7094
142,"Nice, good quality futniture. Lots of choices.  Some items are so popular, we have to wait a while for delivery. Will be back again next time. Good service from Ms Choy Har! Thank you!",0.3445,0.6555,0.0,0.34136666666666665
143,"Friendly and helpfull staff.
Items quality look good.",0.48550000000000004,0.5145,0.0,0.42755
144,But no public bus to scanteak. Need to take  gain city free bus to reach location.,0.2635,0.5834999999999999,0.153,0.24115
145,"If you are looking for wood furniture, you can have a visit there. However the showroom is pretty small. Hence you won't find lots of varieties. I think the quality seems to be good. Can be expensive.",0.1368,0.8632,0.0,0.17102
146,Good place to look for household furnishing. Clean cut and modern design.,0.31999999999999995,0.5455,0.1345,0.25715
147,Wish they would sell the knitted pouf.,0.31,0.69,0.0,0.4019
148,Warehouse sale ongoing. Very good qualities,0.2915,0.7085,0.0,0.21005
149,"If you're into simple, modern wood furniture this place is for you. Expensive. Staff was friendly.",0.205,0.795,0.0,0.16463333333333333
150,Beautiful furniture that made to last.,0.438,0.562,0.0,0.5994
151,Love the Scandinavian styled furniture!,0.466,0.534,0.0,0.5411
152,Great buy and friendly stufg,0.709,0.291,0.0,0.8074
153,Nice furnitures,0.737,0.263,0.0,0.4215
154,HQ have full range display.,0.0,1.0,0.0,0.0
155,"Most ridiculous experience I have ever had. When I went in at 5 pm , there were no staff around and lights were switched off.",0.0,0.753,0.247,-0.35805
156,Nice furniture,0.737,0.263,0.0,0.4215
157,Warehouse sales is not spectacular or particularly interesting.,0.3,0.7,0.0,0.4576
158,"(Translated by Google) This is the best furniture I have ever used, but I forgot what wood it is. Has anyone told me what wood it is?

(Original)
这是我用过最好的家具了，但是我忘记了它是什么木了，有人告诉我这是什么木吗？",0.04666666666666667,0.9533333333333334,0.0,0.12726666666666667
159,"Bought a Kube Bedside table recently, staff named Christopher was really helpful and friendly. Took time to answer my endless queries and even offered to carry the 15+kg table to my car! Kudos 👍",0.45766666666666667,0.5423333333333333,0.0,0.4242
160,"staff was nice and friendly, while viewing the furniture he even offered coffee. thumbs up~",0.1765,0.8235,0.0,0.3592
161,"At first I was daunted by the appearance of a skinhead salesman but after further interactions, the salesman was quite friendly. I had some special request for CNY and he managed to arrange for delivery before CNY. Surprisingly friendly and helpful staff by the name of Chris",0.303,0.6970000000000001,0.0,0.6328333333333334
162,The staff in this showroom really attitude problem!,0.0,0.682,0.318,-0.5057
163,"My sofa set gave way before coming to 2 full years.

Emailed scanteak. Because there is a servicing email on their Web. But was told they don't do any repair.

How can a piece of solid wood furniture break down so fast.",0.027600000000000003,0.9724,0.0,0.03062
164,The staff is very friendly and knowledgeable. One of the best Scanteak branch that I would recommend you to drop by and purchase,0.345,0.6045,0.0505,0.61105
165,Good quality. But limited designs,0.357,0.39949999999999997,0.2435,0.06745000000000001
166,Paul,0.0,1.0,0.0,0.0
167,Great shop for teak furnitures. Excellent customer service by Mr Daniel.,0.4655,0.5345,0.0,0.5984
168,"great showroom with all the scanteak offerings

convenient parking in the back, this show room is quite a walk from the paya lebar mrt station. perhaps it's an indication of the clientele they are targeting as the teak furniture is quite …",0.0755,0.9245,0.0,0.31245
169,Variety of teak furnitures. Our reason for visiting scanteak was the good customer service rendered by Mr. Daniel.,0.0805,0.9195,0.0,0.1806
170,Came in to shop with 20mins left to closing time. Shop girl greeted us ‘that they were already closed’. We couldn’t even look around for 5 mins. Great service. Business must be good.,0.2934,0.7066,0.0,0.25186000000000003
171,Quality furniture,0.0,1.0,0.0,0.0
172,"Was told that this quaint building is more than 100 yrs old. *Gosh* The staff was very friendly & helpful, and there are some really good bargains onsite. Furniture is of good quality & reasonably priced.",0.244,0.756,0.0,0.4051666666666667
173,Good place to have a look for teak furniture.,0.263,0.737,0.0,0.3612
174,"There is ample parking space just outside the store, very convenient for people who drive. The store is spacious, sales person is  very helpful and familiar with the product.👍",0.096,0.904,0.0,0.2377
175,Very nice wood furniture ranging from coffee tables to beds. Not bad prices for this premium kind of product and the service staff are very friendly. They let you try out the product before you buy as they have everything on display here and are nice to you even if you don't buy.,0.22166666666666668,0.7783333333333333,0.0,0.5477333333333333
176,Furniture of great quality  that eschew warmth and personality.,0.504,0.496,0.0,0.7964
177,Nice teakwood Scandinavian design furniture features simple and clean lines. The showroom here has a good selection and helpful staff.,0.419,0.581,0.0,0.65955
178,Great deals and services,0.577,0.423,0.0,0.6249
179,Boring,0.0,0.0,1.0,-0.3182
180,"(Translated by Google) Furniture store

(Original)
家具店",0.0,1.0,0.0,0.0
