,Body,Year,Positive,Neutral,Negative,Compound
59,"lack of consumer protection or recourse for singaporeans who lost thousands to interior design scams the excitement of getting new furniture and renovations for their homes turned into a terrible experience of frustration and cheating for several couples who were swindled out of thousands of dollars by a furniture company. located in the tan boon liat building, a furniture shop named sossometimes called collective living, prestige modern space living, teak & cotrapped several couples who were eager to furnish and upgrade their living space by cheating them out of tens of thousands of dollars and delivering shoddy work. all these cases involve the same company and sometimes even the same person, named ben or sometimes as brandon toh. while it may seem on the surface like a simple case of a company delivery bad work, the method it has employed in conducting these dealings point to a deeper, darker story. several couples swindled one woman shared a story earlier in august 2020 about this furniture store on the facebook group sg blacklists profiteering retailers. in a series of screenshots, she notes how she visited the furniture store on the 14th floor of the tan boon liat building, called sos. a salesman named ben or brandon who claimed to be boss told her that the sofa she purchased could arrive in a month, on 1 march 2020. however, it never did. she messaged him on 5 march to follow up and he simply said that he would revert back to her. messaging him again about 20 days later, she received no reply. thats when she decided to call. he then told her that the furniture would arrive on 1 april as there was a shipment coming in. a few days after that on 6 april, still no sofa. when asked, he said that the sofa had arrived but the delivery man couldnt get through to the customer to make the delivery. the woman said she didnt get any missed calls at all. once the circuit breaker was implemented in april, nothing could be done. so she waited until june. when the sofa finally arrived, it was not to the customised measurements requested and the cushions were the wrong size. in a different case, a woman lene shared the story of how she and her partner were cheated out of s$5,000 when they were out shopping for furniture for their first new house. in a post on the site in november 2020, lene noted that the store had overcharged them for their depositcharging s$5,000 instead of the actual amount of s$1820but refused to refund the excess. when they requested to cancel the order entirely and get a full refund, they got nowhere. for over eight months, the couple have yet to be refunded. lene noted in her blog that the store became uncontactable after the refund form was filled, and that when they went to the store to ask for an update, they were referred to the companys office. oddly, the company doesnt actually have an office. lene notes in her post that the furniture store is not a company name that exists. the parent company p+ capital pte ltd, on the other hand, only has a virtual office. however, that virtual office doesnt handle p+ capital. the couple was also given a phone number of ben who they were told to contact about the issue. however, ben has blocked their number. the couple have filed a police report on the matter as well as a claim with the small claims tribunal which has ordered the furniture store to make a full refund. there have been several other similar cases like this involving this furniture store as well as the person named bensome of which involved over s$40,000, and shoddy renovation works which require major rectification. one person paid ben to do some interior designing and renovation work on their home in august 2020, costing roughly s$86,000. theyve paid up about s$60,000 so far but the work is not even nearly up to par. ben had apparently agreed to refund the woman s$20,000 on 2 february this year but she hasnt received a single cent. she also found out that he hadnt obtained a permit to conduct the renovation works, meaning that she had to apply for it herself after he had already started. another woman has hired the company for renovation works as well and purchased some furniture from them. however, he had made a mess of the carpentry and wet works. she terminated the contract. however, she had already forked out roughly s$26,000 for the works including about s$8,000 for furniture which was delivered to the house while the renovation was ongoing. yet another person who hired this name found that he has just dismantled her cabinets, stuck some stickers on it to make it look new and reattached it. his shoddy work extended to using glue to attach tiles and neglecting to do water proofing works where needed. he also installed tiles without letting them choose their own designs, saying that he will take care of everything. laws not enough to protect consumers or provide avenues for redress a common thread in all these stories is also that this ben person is quite sneaky in how he deals with his clients. several people pointed out how the furniture is delivered right in the middle of renovation works and in a way that leaves the couples with no option but to accept the furniture. they are unable to inspect or test it. once the furniture is received, they are less likely to be able to claim fraud, as one lady point out. this leaves them with fewer options to go after the people involved. to add another layer of frustration, while police reports have been made by those who were cheated, the police are not exactly treating these cases as a cheating but merely a dispute. this is where the furniture delivery tactic comes in. once the furniture is delivered, the victims cant quite claim that they have been cheated since they did receive furniture. it then becomes just a dispute on the furniture that was deliveredin terms of dimensions, quality, etc. now, toc understands that this ben person is involved in a few other corporate disputes as well. we also understand that the person in charge of these stores, ms lou zou yee listed as the director of the company, has not been called in for questioning by the police. toc did visit the store and asked to meet with the person involved. however, the person was not there at the time. despite several attempts to reach out, we have been unable to get in touch with him for a response on this matter. at first glance, the company appears to be a legitimate furniture store specialising in teak wood furniture. they even attached sold labels on some of the furniture in the store, selling the idea that the business is doing well. but closer inspection reveals that the labels are actually quite old. its nothing more than a farce. one victim shared that they trusted him and the photos he sent as reference of his past work seemed legitimate at first glance. however, in hindsight, she recalled that he had never explicit claimed that the photos were of his own work. in fact, a close look reveals the photos to be that of showrooms and the work of other interior designers. he was merely passing them off as references but careful not to explicitly say it was his. the victim also recalled how insistent he was on making payment via cash, bank transfer or paynow, claiming that credit cards would incur a 7 percent gst. many of these victims note how difficult it is to get in touch with ben, especially once they begin to doubt his work or demand a refund or termination of contract. when they do manage to get hold of, he piles on excuses, doing all his to avoid refunding them. sometimes, he downright just ignored them. several of these victims have made police reports against ben and the company but to no avail. they also attempted to seek redress in the small claims tribunals. as the case of lene, we know even that is not useful as ben can just avoid paying them the amount the court ordered him to do. these cases, and many like them, highlight how singapores consumer protection laws are not powerful enough to protect them. it also shows how little efforts are being made to help those who have been scammed. lack of active enforcement and deterrence by authorities and agencies in singapore to protect consumers and these are just the tip of the iceberg in singapore. toc has reported on similar cases in the past. earlier in 2014, we reported on how 13 families were cheated by an interior designer who misrepresented his former employer, took their deposit for renovation work and disappeared with work left half done. the interior designer would accept the renovation jobs from the families, take the deposit, start the renovation work by hacking up the floor, and then disappear, leaving the family with a bare uneven concrete floor which they sometimes have to put up with for months. however, the police had initially classified these as civil cases and did not record them down. the police then advised the families to seek legal redress. the case was only classified as cheating after the families banded together to insist that the police file their cases. unfortunately, even with an investigation officer being assigned to the case, not much was done to update the families at the time. it seems that the burden is on the victims to file civil claims against the company that cheated them while the police treats the matter as a commercial dispute between a willing buyer and a seller. the victims in these cases have filed complaint to the consumers association of singapore (case) but the agency will do nothing more than register their complaint and write a friendly letter of demand. in rare cases where police takes active steps, it is after the case goes public. for example, like the case of the vietnamese tourist who was cheated out of his money at a cellphone shop in sim lim square back in november 2014. case had received over 25 complaints from the public between august to october 2014 prior to the incident with the tourist, yet no action was taken in regards to the shop in question. it was in 2015, that five men related to the now-defunct mobile air pte ltd, including its former owner jover chew, were detained over a series of cheating cases at sim lim square. despite police reports were lodged against the company for alleged unfair and dishonest sales tactics, with customers complaining that they were coerced into buying mobile phones and in-house warranties at inflated prices due to hidden terms and agreement in the sale contract, both the police and case only took action after the video of the poor vietnamese tourist begging on the floor went viral. back to this case, lene approached case and asked them to list this companys address as a company alert list. in response, they said that there needs to be a lot of complaints against the company before they can put the company up. lene asked, how to, when they can change (their company name) everyday? so as a buyer and consumer, you have to always be cautious because you cannot rely on the police, case, or even the small claims tribunal to get your money back once youve been cheated out of it. the best bet at getting some form of justice, may be very well be having your story heard in social media. https://www.theonlinecitizen.com/202...-design-scams/",2021,0.054,0.839,0.106,-0.9988
60,"story : - purchase some teakwood desk and cabinet from this royal thai wood and craft co.ltd in feb 2018. - made full payment on the spot as it was a good price and their store was quite legit with many models on display. - their sales staff even promise to deliver the two products by mar 2018. - as of aug 2018, i have never received their products yet. - send them a email and they come up with lame excuse like ""problem with teak wood raw material or material run of stock and our craftman went back to his home town"" - they also didn't bother to call or email me when i clearly told them to inform me early if there is any delay. - email them regularly but no reply until recently they reply me with the screenshot below last week. send them few emails and until now no more reply ! do avoid when you guys go bangkok ! possible that the thai police may step in to help if i escalate the case ?",2018,0.075,0.843,0.082,-0.5206
61,"bro, checkout helping hands on upper serangoon road. they have a 50% sale on solid teak furniture until tomorrow. i placed order for a tv table, 640 for a solid teak one measuring 150x43x50 cms",2013,0.162,0.838,0.0,0.5267
62,thx but i don't need so good one. after all if i can get 3 for $700 isn't it better than one for $600? mine is 60x93x28 cm and made of wood board will do.,2013,0.176,0.744,0.08,0.5793
63,i plan to ship loose teak furniture from indonesia the other built in custom furniture my mother make. but i pay her what she usually charges.,2016,0.0,0.781,0.219,-0.5994
64,does anyone know where i can make a custom l shaped study desk with nice wood like suar teak or pine those type,2020,0.227,0.773,0.0,0.6486
65,"pine is considered nice wood meh? pine is like chapalang wood, usually people won't use for furniture (except budget furniture like some of ikea stuff) cos pine very soft and will dent easily, plus the woodgrain is not considered aesthetically pleasing. nice wood, aside from suar/teak like you mentioned, you should be looking at woods like walnut, zebrawood... if got a lot of money, mahogany, rosewood, ebony etc. budget alternative for solid wood and decent aesthetics maybe rubberwood, but if you/your family got latex allergy then should avoid.",2020,0.144,0.795,0.061,0.6075
66,[quote=americanhippo;103819639]hehe i waiting for more money first plan to buy some loose teak furniture from indonesia.,2016,0.0,0.859,0.141,-0.3182
67,"hello all - i'm making a trip down to balestier road over the weekend and perhaps in the few weekends to come to check some home and bathroom fittings / accessories / furniture. i'm not very familiar with that part of singapore but i'm aware that street is a reno related galore street. am intending to start walking from the thomson road end starting with hafary tiles and see how far can my legs and energy take me. not driving, so will take cabs and buses if necessary. can someone recommend a few must visit or good showrooms and shops along the way especially for bathroom accessories ? some of the stores on my list includes: 560 balestier - hafary tiles 360 balestier road - novena furnishing pegu road - scan teak before balestier road, will be visiting hoekee showroom at genting lane first ! any other comments and suggestions/recommendations will be appreciated ! thanks !",2015,0.121,0.879,0.0,0.9634
68,"if you are a fan of teak wood, there's actually two scanteak outlets at balestier. one at pegu road while the other is nearer to the thomson medical side.",2015,0.078,0.922,0.0,0.3182
69,go check out those furniture shop selling teak wood furniture. they can have good looking furniture that serves well as hifi rack at affordable prices.,2013,0.179,0.821,0.0,0.6124
70,remember to choose solid wood like teak or walnut. not mdf **** when choose table/console.,2021,0.24,0.76,0.0,0.4767
71,ts asking for cheap. solid wood won't be cheap lol,2021,0.134,0.67,0.195,-0.1857
72,marble table also can right? sent from samsung sm-j320g using gagt,2021,0.0,1.0,0.0,0.0
73,"btw ts i like the way the peranakan tiles are done here esp if you have very few pieces - save $$ too my post #429 in http://forums.hardwarezone.com.sg/ea...#post102824741 and http://www.homeanddecor.com.sg/artic...arm/telokkurau also look at the floor tiling treatment in kitchen there spoiler! and the teak furniture piece(s) in the bedroom there ! wood-tone pieces make up the master bedroom. the window shutter headboard is from taylor b, while the bedside tables are from wihardja, and the trunk is from teak palace. spoiler! i think you might also get some ideas from this kitchen pic i like the pic somehow - find rustic-retro raw beauty etc in it ! (i have lots of pics on kitchens n bathrooms collated these few days on my own retirement-hdb thread - for future reference (also for those retro lovers as quite a few vintage look flats etc) ) spoiler! you might also like this custom-made concrete sink found in the common bathroom of this 4-room resale flat from $80,000 open-concept four-room flat that's bright and airy 28 may 2016 http://www.homeanddecor.com.sg/artic...right-and-airy spoiler! added : just completed posting on 2 x 2-storey shophouse homes in my hdb retirement plan thread (1 in joo chiat n the other 250k spent on its reno)",2016,0.108,0.892,0.0,0.9692
74,"there are also three different grades of teak, a b and c. most teak from indonesia are b and c, where the trees are grown in conserved forestry. grade a teak are from the heartwood of mature trees. https://www.farawayfurniture.com/a-b...explained.html",2018,0.076,0.924,0.0,0.4215
75,"just an update. i went with boo furniture in the end. all their furniture are made to order from indonesia teak, a pleasure surprise for me as i can customise not only the size and also the design. i designed my own chair by mixing a chair base with another handle design. turn out quite comfortable. they are not pushy at all and really knowledgeable. price is very reasonable compared to sg shops (of course). lead time can be long as it's customised. took around 2-3months for me. overall super happy with them! sent from huawei bla-l29 using gagt",2019,0.178,0.822,0.0,0.959
76,"just wanted to share a recent purchase at furniture mall. we decided to get a new sofa (3+2) and was quite taken in with the burmese teak wood model. we were served by a lady named susan and was very approachable. we were hesitant initially after hearing the first offer but changed our mind after understanding more on the type of teak used and how we could maintain it for the future. delivery schedule was ok although we could have pushed for a earlier time slot. for those who have passed by the shop or recce before, do check out the designs as we found it different from other shops. susan was also very friendly and good with product knowledge throughout the buying process (we went back to the shop 3 times on different days) . disclaimer: i'm not the boss nor staff working at this particular shop. neither am i given any incentives for this post. this is a positive experience sharing and only relates to our experience with this staff at this outlet. cheers and happy shopping!!",2011,0.176,0.816,0.008,0.9884
77,what type of solid wood are you referring to? teak?,2018,0.179,0.821,0.0,0.2406
78,"xtra can only buy their aeron and embody chairs. the rest don't bother. maybe some stools. for sofa i prefer natuzzi. most cupboards and such are solid wood teak, snake wood and maha.",2015,0.108,0.892,0.0,0.3891
79,jin satki. nxt time moi got house invite u house warming,2015,0.286,0.714,0.0,0.296
80,can try hewn.sg. nice scandi look. lot of their products are reclaimed teak.,2016,0.189,0.811,0.0,0.4215
81,"i just got my flat and doing renovation now. i am looking for furniture for my new place. i came across etch&bolts on facebook and i went to their pop up store couple of weeks ago. i found that what they are offering is really interesting and quite hard to find in other furniture stores. they do customisation, range of leather and fabric colors for sofas and ottomans. if i were to get wooden leg sofa, i have a few wood shades to choose from too. i really like their lighest wood leg color! other than sofa and ottoman, they do sell tables, chairs, tv console too, if im not wrong, they are using solid teak wood, customisable dimensions and they have like 15-17 wood shades to choose from. basically, they really offer customisation and pricing wise ranging from 1.6k to 2.3k i was wondering whether they are other furniture stores that are worth going or offer similar service as etch&bolts? thank you!",2015,0.125,0.865,0.01,0.9526
82,"hi everyone, because of covid,i am looking to move outside singapore. the family all go overseas to study. our house got some furniture, 1. thick queen mattresses each for $112 2. thick super single mattresses each for $87 3. marble dining table for 8 pax for $1300 4. teak bed frame queen for $136 i don't want to just dispose the furniture la as all in excellent condition and cannot afford to give cheap as the movers charge so high. i no vehicle also. can advise what to do with these furniture? i tried carousell, facebook marketplace and gumtree but response very slow. you all share within your networks can help me then i can take small job overseas otherwise stuck with these. whatsapp contact number: 91005620",2020,0.095,0.864,0.041,0.8047
83,"hey anyone here keen on getting indonesian teak furniture? i'm buying some loose ones from indonesia, but the shipping is minimum a 20ft container. anyone wants to ship together? i'll prorate by cbm.",2016,0.062,0.889,0.049,0.1179
84,you buying from catalogue or what?,2016,0.0,1.0,0.0,0.0
85,another online furniture shop at hewn | rustic solid wood furniture | singapore. reclaimed teak. scandinavian type look.,2016,0.096,0.904,0.0,0.1531
86,"anyone know where to get good wood for rack, like teak, maple, cherry, walnut or any good grain wood",2010,0.342,0.658,0.0,0.8074
87,try the furniture shop at alexander food village. run by a very old couple.,2010,0.0,1.0,0.0,0.0
88,"srsly, buy a teak wood table only $600 that can last till your grandchild",2019,0.0,1.0,0.0,0.0
89,"12 inch by 2 inch, indonesian teak this image has been resized.click to view original image can't rmb the total square feet liao",2016,0.099,0.901,0.0,0.3182
90,same here. indonesian teak. mine is 400x72mm. i purposely ask for the biggest if not v 'dazzling' haha.,2016,0.0,0.858,0.142,-0.357
91,i know what u mean your parquet should be quite ex cos bigger strips at that time was only given 2 size choices of indo teak as the bigger ones no more stock so chose the larger option if not need to change to burmese which was much pricer than indo but i felt abit bohua...,2016,0.0,0.97,0.03,-0.1531
