,comments
68,Grace was really cheerful and helpful with our questions and requests. Been to a few scanteak shops but this was e best sales experience fr so far.
69,Found really good furniture pieces at solid prices! Staff were also friendly and helpful.
70,"I received very good, efficient service and there is a good product range. Nice showroom!"
71,"Assisted by Choy Har , there was a table that was only available in another show room and we wanted to see how it matched with the chairs. She asked a colleague to put the set together in another show room and sent the photos to us. Excellent service"
72,"Thumb up 👍
Service is super good and scanteak staffs are friendly . Furniture are super solid NICE 👍"
73,Friendly and nice staff with lots of variety to choose from. Great experience.
74,"The showroom is customer-friendly, kids corner available. The staff Grace knows her products well."
75,"Friendly staff, efficient service. They offer attractive designs."
76,"Good customer service, patience and attentive. Good quality and good promotion."
77,Grace was extremely helpful and gave very candid feedback on what is good and which may have design flaws. Loved the experience with her
78,Lovely n helpful staff. Buying 2nd king size bed from scanteak premium range.
79,Scanteak is my absolute favourite furniture brand with top notch quality and customer service!
80,Very good service . Customer support officer Grace was very helpful . Thansk
81,Great service and range of products! Highly recommended!
82,friendly staff and cosy showroom with free coffee and snacks while browsing. good experience.
83,Look for great and friendly Chris to purchase your furniture. 👍👍👍
84,"Good service from the staff, Chris .
Thanks for his recommendation."
85,Chris is very helpful and patient with his explanation.
86,Polite staff introduced me around.
87,Great product quality and staff are friendly and helpful.
88,Very good quality and services
89,Very nice products and good service!
90,Very friendly and helpful service by Chris.
91,Great service.. friendly staff
92,Served by chris! Really helpful!
93,Great service and friendly staff!
94,Excellent service from Lilan.
95,Nice set of furniture and a knowledgeable sales person there. I like their furniture.  Quality furniture!
96,"Friendly staff, good service and professional"
97,Good service.👍
98,Staff are knowledgeable and helpful with product introduction
99,"Good service, by chris!"
100,Grace was very helpful!
101,"Good service, nice ambience"
102,Conveniently located with ample car park space
103,Good quality furniture
104,Good service on items
105,Convenient and friendly staff
106,Fine furniture at Scanteak.
107,Ok
108,"Very disappointed about my recent purchase. I purchased the so-called designer range Mono chair 2 weeks ago, after careful usage for for less than 2 weeks, found the chair top surface got scratched badly by the zip head of the original …"
109,"Mostly a very nice showroom with their entire range available to view. I liked the range a lot.

Showroom is a little cramped in places, so a bit difficult to view from a distance, though in this, it's still better than many other places. …"
110,"Melvin was very helpful and offered us advise while we were trying to decide which sofa and coffee table to purchase. He was also very patient with us when we were going around, back and forth on our decision. Great experience!"
111,I entered the showroom and was warmly greeted by Carol. She was polite and allowed me to browse the items in the showroom before answering my enquires about the pieces on display. She was able to provide useful advice and product knowledge which helped me in buying decision. Great service :)
112,Friendly staff and good service. The product are nice and high quality. Highly recommend.
113,Helen was very helpful and knowledgeable about the sofa series and gave good recommendations! I’ve enjoyed my shopping experience in this Scanteak shop!
114,Carol was very attentive to our needs as soon as we walked through the door and allow us time to make our decision.
115,Good service with nice place. Friendly staff with good knowledge of products.
116,Friendly and efficient staff. The furniture all looks very good.
117,Carol was very helpful the minute we stepped into the showroom and we were very happy with our purchases.
118,Staff here are friendly and make good recommendations for my furniture needs.
119,Great design and variety. Showroom is spacious.
120,The staff were really helpful and knowledgable about the products.
121,"Cosy setting, friendly staff who is always ready to help 👍"
122,very satisfied with the product n service
123,Beautiful Showroom with beautiful staff n beautiful furniture
124,Nice furniture with good service staffs
125,Good and patient service by Melvin!
126,Very satisfied with the service n product
127,Teakwòod furnirure wih nice design.
128,Superb service and good quality furniture!!!
129,Very happy with carol n the showroom
130,Helpful and friendly staff!
131,Great service from Carol!
132,Good service experience
133,Very comfortable in this showroom
134,Friendly & good service
135,A great place for quality furniture n quality staff.
136,"Was really inaccessible, but great space and furniture all-around!"
137,Very detailed explanation by Sam. Staff wasn’t pushy and allowed us to have our own moment to decide. We were comfortable when handled by them. Price was reasonable as well.
138,Great service and wasnt pushy to purchase the products even when they were closing. Value for money for the quality of their products. Will come back again in future to purchase more.
139,Recently purchase the cabinet and very disappointed.  The cabinet delivery two times still chip-off.  No quality control.  Don't ever buy your furniture again.
140,Nice furniture selection. Managed to snag a good deal for a full leather sofa ledig. Served by May. Do find her when you are here.
141,Chris was very helpful in helping us choose the right sofa for the house. There is great designs at affordable price - worth a visit!
142,"Nice, good quality futniture. Lots of choices.  Some items are so popular, we have to wait a while for delivery. Will be back again next time. Good service from Ms Choy Har! Thank you!"
143,"Friendly and helpfull staff.
Items quality look good."
144,But no public bus to scanteak. Need to take  gain city free bus to reach location.
145,"If you are looking for wood furniture, you can have a visit there. However the showroom is pretty small. Hence you won't find lots of varieties. I think the quality seems to be good. Can be expensive."
146,Good place to look for household furnishing. Clean cut and modern design.
147,Wish they would sell the knitted pouf.
148,Warehouse sale ongoing. Very good qualities
149,"If you're into simple, modern wood furniture this place is for you. Expensive. Staff was friendly."
150,Beautiful furniture that made to last.
151,Love the Scandinavian styled furniture!
152,Great buy and friendly stufg
153,Nice furnitures
154,HQ have full range display.
155,"Most ridiculous experience I have ever had. When I went in at 5 pm , there were no staff around and lights were switched off."
156,Nice furniture
157,Warehouse sales is not spectacular or particularly interesting.
158,"(Translated by Google) This is the best furniture I have ever used, but I forgot what wood it is. Has anyone told me what wood it is?

(Original)
这是我用过最好的家具了，但是我忘记了它是什么木了，有人告诉我这是什么木吗？"
159,"Bought a Kube Bedside table recently, staff named Christopher was really helpful and friendly. Took time to answer my endless queries and even offered to carry the 15+kg table to my car! Kudos 👍"
160,"staff was nice and friendly, while viewing the furniture he even offered coffee. thumbs up~"
161,"At first I was daunted by the appearance of a skinhead salesman but after further interactions, the salesman was quite friendly. I had some special request for CNY and he managed to arrange for delivery before CNY. Surprisingly friendly and helpful staff by the name of Chris"
162,The staff in this showroom really attitude problem!
163,"My sofa set gave way before coming to 2 full years.

Emailed scanteak. Because there is a servicing email on their Web. But was told they don't do any repair.

How can a piece of solid wood furniture break down so fast."
164,The staff is very friendly and knowledgeable. One of the best Scanteak branch that I would recommend you to drop by and purchase
165,Good quality. But limited designs
166,Paul
167,Great shop for teak furnitures. Excellent customer service by Mr Daniel.
168,"great showroom with all the scanteak offerings

convenient parking in the back, this show room is quite a walk from the paya lebar mrt station. perhaps it's an indication of the clientele they are targeting as the teak furniture is quite …"
169,Variety of teak furnitures. Our reason for visiting scanteak was the good customer service rendered by Mr. Daniel.
170,Came in to shop with 20mins left to closing time. Shop girl greeted us ‘that they were already closed’. We couldn’t even look around for 5 mins. Great service. Business must be good.
171,Quality furniture
172,"Was told that this quaint building is more than 100 yrs old. *Gosh* The staff was very friendly & helpful, and there are some really good bargains onsite. Furniture is of good quality & reasonably priced."
173,Good place to have a look for teak furniture.
174,"There is ample parking space just outside the store, very convenient for people who drive. The store is spacious, sales person is  very helpful and familiar with the product.👍"
175,Very nice wood furniture ranging from coffee tables to beds. Not bad prices for this premium kind of product and the service staff are very friendly. They let you try out the product before you buy as they have everything on display here and are nice to you even if you don't buy.
176,Furniture of great quality  that eschew warmth and personality.
177,Nice teakwood Scandinavian design furniture features simple and clean lines. The showroom here has a good selection and helpful staff.
178,Great deals and services
179,Boring
180,"(Translated by Google) Furniture store

(Original)
家具店"
