,comments
70,"my  husband and i bought our full leather sofa from grey and sanders. we had been looking for a sofa for quite some time, and we’re very happy to find a nice and affordable one at G&S!

we were served by Ridhwan, who took time to explain …"
71,Bought a black walnut bench here and was provided excellent service and 2 excellent products by your staff Ms samantha and Mr Shafeeq! Definitely recommended if you are looking for custom solid wood furniture! Thank you very much!
72,We are beyond delighted with our purchase of Black American Walnut dining table + bench. Quality is top-notch and value for money. We would like to shout out our appreciation to Shafeeq for sharing his knowledge and expertise on diff …
73,"What i like is that the shop has a wide array of slabs from black walnut, oak and teak which is different than the regular suar wood. There is definetly a slab that you will find here that suits your liking!"
74,Great furniture! Great staff! Great experience!
75,"Good product knowledge and customer service provided by Sam. Despite the delay in the delivery of products, Sam had provided us with updates on the status. Looking forward to receiving the products!"
76,"Came to shop for furniture and had a great experience! The staff give you space and won't intrude to hardsell their products. There is a huge wall rack of different types of wood in different shades to choose from, I was really impressed. …"
77,Beautiful table and excellent service!  Thank you G&S
78,Great customer service and love the couch! Thank you!!
79,"bought a solid wood table from them. Value for $$, cheaper than similar product from other shop. Good service."
80,Beautiful tables at a fraction of the cost of what is costs in the US!😊😊😊
81,"Nice Design, Nice Service."
