,comments
32,Store has a great ambience and has a great selection of modern-looking furnitures! Furnitures all look and feel premium and are of a reasonable price. Will definitely revisit the store again if I were to change furniture.
33,"A very customer oriented place. Great place to view a variety of furnitures. With the help of Nikki, we were able to source for the stuff that would match what we already have. Great Job Nikki!"
34,"Very pleasant experience. Received good quality Castlery products. More importantly, the delivery timing was sharp and their after-sales service support was excellent.
Case in point :
It was discovered during delivery that a set of legs for …"
35,Enjoyable shopping experience with Sam’s assistance. Good prices for the quality!
36,"Lovely furniture at reasonable prices. Good quality and selections. Professional, patient, friendly service by Kester. Glad to have made our purchase."
37,It's a very nice place. Bunch of different choices. I like sofa there very much. Good choice for me.
38,"Wonderful customer service!
We were served by Sylvia at the Jit Poh showroom. She sat down with us and provided options and consideration for our now purchased sofa. She was patient and friendly altogether. Directly after the session, she …"
39,Experience was welcoming and friendly. Kester’s such a great help and we were able to make an informed purchase comfortably.
40,"Super friendly, easy, no sales pressure staff. Nice selection and fair prices."
41,Had such a hard time picking out items for our new home as they were all really beautiful! We also liked how we could customise the fabric for the sofa. The showroom is also staffed by really friendly and helpful people (:
42,"My partner and I just purchased our living room furniture. Excellent service, with Nikki guiding and helping us decide on colours and different pieces of furniture. Delivery and  logistics seamless!"
43,"Staff are really helpful and efficient, especially Sylvia & Anson. The shopping experience is really the best - fast and responsive (even at night), and you won't get 'bounced off' to another staff or another department if you have queries."
44,Wonderful staff at Castlery which let us explore the showroom at ease. Beautiful display of furniture and wide variety. Love the entire experience of shopping here and we are so glad we finally decide on Ethan sofa!
45,"The showroom is bigger than expected. Furniture's colour palette is to my liking. We were served by Evelyn, who is very friendly. Thumbs up!"
46,"Came here just to browse, but in the end got myself a coffee table set and sofa. Nice environment, friendly staff and good quality furniture."
47,"Very good experience, Kester was very helpful, even on the weekend.

Very well laid out selection that made the easy choice."
48,"Love the Capella 3 seater! Simple design, nice fabric and super comfy too. Has a nice ottoman to complement the sofa. Excellent customer service by Alan!"
49,"Was here to get bed frame and dining table for our new bto house :) Looking for at least 2M long dining table, glad we met Ivy and she is so friendly assisting us and intro to us what we need. And also advise us the color pairing as well. Thank you so much!"
50,"I like their furniture is very beautiful, looking forward to our new home and their furniture. Thank you castlery."
51,"Very beautiful and cosy showroom. Inspired to decorate my new house the same too! Has a wide variety of sofa catered to different needs and preferences. The sales person, Din, is friendly and familiar with the products. Provided a very good and detailed explanation of the different sofa and advice based on preferences."
52,Service was excellent. Din attended to us. He was very helpful and patient in helping us through our selection. He gave useful advice for the colour combination for the dining table set as well as the sofa and cushions.
53,"Excellent range of contemporary furniture that are of good quality & price range. Staff are enthusiastic and professional, and helpful with their advice. Our favourite place to shop for furniture!"
54,"Perfect showroom, good service. Furniture design match perfectly what i’m looking for."
55,"Been Recommended by my cousin who just bought a sofa here. There are a lot of design & model to let us choose. Environment is very comfortable, the background music, the lighting. Staff is very friendly & give us suggestion."
56,Have bought a dining table previously and recommend to our friend for their new place. Showroom at Jit Poh is bigger than expected. Great customer service by Evelyn!
57,great showroom and very friendly staff! would definitely shop here again :-)
58,Friendly staff with great advise. Wide variety of choices at a great price. One stop for all your living and dining needs.
59,"Great store, friendly staff. Fantastic collection of retro modern furniture."
60,Beautifully designed furnitures at reasonable prices!  Went to the showroom twice to have a feel of the sofas before finally deciding which design to buy. Made the order online - hassle free! Benson was really informative and helpful when answering our queries. Will definitely recommend them:)
61,This store has quite a wide range of home products for me and my hubby to choose from and its pretty much special with many choices to choose from. staff evelyn is very helpful and nice towards us and even gives us recommendation on the …
62,"Love how Castlery is affordable yet doesn't comprise the style! Went to their showroom twice and was greeted with friendly staff. The showroom was spacious and nicely decorated! Thanks to Sylvia for helping us with our enquires, can't wait for our new sofa to arrive!"
63,"Quality furniture at affordable price points. We bought an Adams chaise sectional. It has deep seating and extra plush back cushions, qualities which we were hunting for but which cost a lot more at other places, according to our research. …"
64,The furniture here are quite solid and nice looking. I bought the vincent dinning table set during their discount period. The staff here are very nice and helpful. Definitely recommended and will come back again.
65,We were served by Nikki who displayed good attitude as a customer serving person. She is cheerful and gave us confidence in her
66,"We engaged one of the very helpful staff with questions on the product, delivery and more. Very helpful, knowledgeable and patient! Good service and we would recommend this showroom"
67,"Anson has been such a great help in helping us decide on the sofa that we need. Shopping at Castlery was such a wonderful experience, will be back for more!"
68,"Very personable staff in their showroom. Nikki really listened to our needs and helped us make up our minds. The clean design of their furniture makes us come back here again and again, not to mention at very competitive prices."
69,"Love the virtual showroom that CASTLERY has. Was able to spot our dining table, together with the measurements online. Came down to the physical showroom and had such a hassle free experience, bought our dining table in a blink of an eye! Thanks for the beautiful experience!"
70,"We absolutely enjoyed our shopping experience here. Sylvia was extremely helpful and recommend what's best for our home. Beautiful store and easy to find what matches our home aesthetic. I strongly recommend Castlery, look for Sylvia, she will assist you with care without even being pushy. Hospitality on Top!"
71,An amazing experience with the sales representative Ms Ivy. Service was great and had full knowledge in answering our queries. Seamless purchase transaction. Will definitely come back again.
72,It is very easy to locate the place and the space inside is very well thought out. The staff is very helpful and welcoming and it is easy to browse around. The collection of furniture is modern and there are a lot of options. It is very easy to look around and decide on something. Good collection of furniture as well.
73,Love the showroom. Nice ambience and salesperson Din was very helpful. Even sharing his advise and recommendations. thumbs up! Definitely will return again for future furnishing needs!
74,"My second sofa buy, very satisfy with Castlery services and product."
75,Not the most convenient to visit show room. But it is the best way to see complete range of well designed furniture. Great customer service who are always willing to help.
76,"Bought a Theo Round Dining Table. When it arrived, it was all scratched up on the surface and we contacted Castlery who offered a replacement. Replacement table came in last week and we are already noticing new scratches on the ""tempered …"
77,Comfortable relax ambience. Products were well displayed. Staff were friendly and helpful. Only grouse I had was parking. Overall nice experience. Recommended.
78,"I went to Castlery showroom to check on the Todd sofa I ordered  and wanted to change to a Pebble sofa. Then being indecisive as I am, I decided to stick with my original order again. The Castlery team were so accommodating and nice and …"
79,My second time back at Castlery for our home furniture! It was a very fuss free experience as their website was very informative & we were able to customise the details of the sofa we were eyeing to get a better look at it. At their …
80,Its a very pleasant showroom and staff are professional. Sylvia Mallari was serving us and her customer service is excellent. Made us feel taken care off and I feel good making the purchase of a sofa. Keep it up.
81,Good quality and wide selections. Bought a dining table and tv console. Enjoyed the shopping experience here :)
82,Really like the style of furniture and options available. The team there is also very helpful and patient with all the testing and trying out we did. They also recommended sofa colours to match our walls and existing furniture. Scheduling …
83,I love to visit Castlery ji poh. I was served by Nikki. She is so helpful and serve with a smile. She is really a wonderful sales person. Thank you Nikki for your great help .
84,"Excellent service, friendly staff and extremely helpful. Furniture is super quality and customisable. Delivery dates are flexible and comes with delivery and installation included. Highly recommended."
85,Helpful staff with useful recommendations. A lovely environment and showroom. Had a lovely experience at Castlery!
86,Din was very helpful and patient in helping us to pick the right colour combination for our sofa as well as the dining table set. Service was excellent.
87,The shopping experience was lovely! The staff here are friendly and really helpful. Will be back again :)
88,"Nice furniture, sleek modern designs but affordable as well. Highly recommend"
89,My experience here at Castlery was simply amazing including the furniture and the service that they offered. I went to the store first to check out where Samirah helped me decide what I really wanted and then continued offline to ensure a …
90,"Had a great experience furniture shopping for our new home. Samira was a great help, very knowledgeable and extremely pleasant. Very pleased with our purchases!"
91,Always loved their collection of furniture. Great quality for affordable price. Lovely customer service!
92,Absolutely love the designs available at Castlery! So simple and yes clearly have a high quality finish. Highly recommend coming to the showroom to browse.
93,Great place to shop for furniture. They have plenty of modern designs that fits your house theme. Recommended place to shop.
94,Great experience from Silva. Very impressed by the details that was covered. Pleasant shopping experience definitely. Will come back again. Payment was seamless and furniture quality is tip top.
95,"Great experience @ Jit Poh! Staff were casual, friendly, and ever helpful. Thumbs up for in particular for Samirah who was most helpful. A visit definitely recommended."
96,Service was impeccable. Kester was knowledgeable and extremely helpful. He gave nice suggestions and was not forceful. We thoroughly enjoyed our experience at castlery.
97,"Was shopping with my husband for a sofa and this showroom surprises me in a pleasant way - spacious, nicely decorated and professional staff. Was served by Sylvia and she is a gem. Highly recommended even if it is for window shopping."
98,Update on Vincent coffee table: I did a follow-up purchase of the new Vincent coffee table set to make use of my price protection credit voucher (and topping up good money). Spot the difference in the Vincent coffee table between what is …
99,Good customer service... polite staff. Displays are well placed with good space for browsing around. Nice atmosphere too...
100,"A wonderful experience at Castlery. I've always liked their stylish furniture, and coming to the showroom is always a treat. The staff are so enthusiastic, helpful and knowledgeable (thanks, Shaun and Ivy!!). But most importantly, the furniture is beautiful and of great quality! Can't wait for my sofa to be delivered."
101,"Spacious showroom. Very knowledgeable staff and very welcoming. Service was top notch and friendly. Never regret making a purchase here.
Highly recommended for the good furniture quality and wonderful service experience."
102,Thank you Allison for the great help in answering our queries.  We got a sofa here at Casterly and we can't wait to receive it
103,"Location is easily accessible with comfortable with full selection of furniture nicely displayed. Great customer service, extremely patient and friendly!"
104,Great Customer service. Friendly sales person will attend to your queries. Recommended to check out their showroom before purchase.
105,"Found our bed! Thanks to Russell for assisting us promptly. Shopping experience was very pleasant, with ample browsing space."
106,"Nikki has been very helpful and patient, shared information in detailed and ensured our concern taken care."
107,We love the customer service here. The sale person is very helpful to find out what we want from him. The design of the furniture here is beautiful.
108,Nice showroom with wide variety of products. Found a nice sofa with the right fabric and dimensions that meet my needs.
109,"Kester is extremely helpful and patient. He uses his knowledge in interior designing and provides well informed knowledge to us.

Overall a great experience shopping with Kester at Castlery"
110,Great selection of furniture. I've been looking for a place like this. They definitely is worth it. And the staff are so accommodating. Highly recommend!
111,Had an enjoyable time trying out the comfortable furniture here. Nice variety and fabrics available.
112,Came on a weekday to hunt for our sofa and Castlery at Jit Poh was very peaceful and allowed us to try out different sofas for some time. Din was very helpful to offer suggestions and his perspectives on the sofa that matches our needs and specifications. His service is definitely commendable!
113,"Found a brilliant modular sofa here with different configurations which fits our room perfectly. Staff were very helpful and talked us through all the options. Showroom has a great range of options as well as beds, desks etc. Highly recommended."
114,Staff were very friendly and knowledgeable. Especially Benson who helped us picked the Seb dining set which is perfect for our home! Highly recommended
115,Very nice studio with a wide variety of furniture. Staff is very helpful and goes out of the way to help customers.
116,Great service and experience! Furnished our entire living room 👍👍
117,"very friendly and accommodating staff, Sylvia, has helped us to choose the suitable sofa and dining table."
118,Great customer service by ms Ivy Diaz! Very friendly and helpful. Great showroom atmosphere too. We would recommend this showroom.
119,Truly love the design of their sofa. Our 2nd sofa purchase from them. My hub was impressed with the service in their showroom during his visit! Can’t wait for our purchase to arrived! 😊
120,"My parents bought me a MILES desk ..Im very happy with the desk, sturdy and spacious enough for me to do my study. Thumbs up!"
121,Great services. Ivy is very helpful on all my enquiries and selection. Thumbs up. Thanks
122,"UPDATED: Jan 2020

1) Castlery was quick to respond when this review went up on Google, so I really appreciated the prompt action in reaching out!
2) They replaced the wooden table piece, which clearly proved that the first one they sent …"
123,The display area has all furniture very aesthetically displayed.. nice collection . Staff is friendly and overall it’s a worthwhile trip if anyone in need for furniture .
124,They have really nice furnitures at their showroom. Pricing wise is really affordable. Was attended by their staff Ivy. She is really friendly and patient in showing us the different furnitures.
125,Service is fantastic at the store. The furniture looks like high quality. Bought a sofa at very reasonable price.
126,Great service from Ivy! Given many inputs and advice on the choice of furniture for our new place! Recommended place for furniture purchase
127,Lots of nice selection of furniture and excellent customer service. Overall enjoyable shopping experience.
128,Furniture is well priced and the design is modern and contemporary. The service staff is very pro active and readily answered all my questions and doubts. I rate this store at keppel one of the best furniture stores I have been.
129,showroom has a nice ambiance and sales consultants are all really nice and helpful! service was good and quick :) will come back again to shop here.
130,Bought our dinning table and a study table during visiting their showroom at Singapore. Great looking furniture and nice stuff! Definitely will revisit for other furniture needs.
131,"It's a nice experience... great customer service.
Location is easy to identify. They have lovely collection."
132,Ivy is exceptionally helpful and professional. Castlery’s showroom is spacious with many furniture selections
133,Very nice showroom! Impressed when we arrived and the furnitures' designs are great! Loved the designs and at affordable price!  Thanks to Din for the friendly service!
134,They have a wide range of quality products in the showroom. Staff are extremely knowledgable and helpful too!
135,The showroom is quite nice with lot of variety of good furniture  of and the staff is very helpful.
136,Bought my sofa set a year ago. And it’s still as comfortable and durable as the first day. Good quality at reasonable prices.
137,Awesome collection. Beautiful yet affordable. Thanks Din for your help.
138,"Was looking for a sofa and went to their showroom at Jit Poh Building. I was impressed with most of their items. Their furniture's are designer styles, good quality and comfortable yet sofa prices are affordable. I was assisted by Nevil and he was very helpful and answer all my queries. I've decided to order the sofa from them."
139,"friendly and helpful staff, greatly priced and quality pieces"
140,It’s has been an excellent shopping experience assisted by Ivy Diaz as she helped me through. Great!
141,Staff is extremely helpful with queries and our order. Beautiful showroom that makes you wanna get everything there!
142,Sylvia provided me with an awesome wonderful service! The purchase was made without any fuss and the whole process is just so easy and great! Loving my new sofa and coffee table! Love their service !
143,"Very nice furnitures are displayed and you have many options. Price is reasonable, and you can find good deal depending on items. Service is also good and i will come back here for my kids desk."
144,Castlery team is very knowledgable and helpful - special mention to Ivy who assisted us our entire visit. Great experience.
145,"I like Samirah her service, very patient and give us advice. We are looking forward to our new home with castlery items! Thank you Samirah and castlery 👍🏻"
146,Great customer service was very helpful! Very nice furniture too!
147,Great service! Alan was great and provided great suggestions! Fantastic ambience and great selection
148,"Ivy was very kind and helpful thru out the purchase process, and the experience was great. We enjoyed the shop, and the help that ivy extended.

5 stars to her and the store!"
149,Lovely experience at their showroom. Really friendly staff - we were helped by Nikki who went the extra mile for us and patiently answered questions even though it was almost closing time. Castlery has comfortable couches at a great price point. Would recommend giving them a shot.
150,Good quality and materials . Staffs are nice n helpful too :)
151,"Went back for another purchase and continue to receive very good customer service from Ms. Samirah. Always prompt and clear communication, keeping us posted on our purchases and delivery schedule. Highly recommended."
152,Great service and quality stuff! Got our bed frame from there! Can’t wait for it to be delivered!
153,Nickki was very attentive and assisted to mix and match the perfect chairs to the table of our choice.
154,Service from kester is simply wonderful and awesome. A friendly and welcoming staff.
155,Great furniture company to shop at. friendly staff and excellent products. highly recommended!
156,Wonderful experience here with friendly staff assisting you. Products are of good quality and the showroom is sufficiently wide for a comfortable shopping experience!
157,"I am writing this to express my appreciation for the excellent customer service which I had received from your showroom today. Sylvia was warm and accommodating, and extremely helpful to me. I have always been pleased with the service I …"
158,"We visited the showroom on a weekday as we really wanted to carefully look at the display items to get a feel of the furniture. As we had quite a number of items to get,  Sylvia was very patient with our many questions and also assisted us …"
159,"Great furniture selection. 6 years ago, we bought a sofa set from Castlery and we are back again for another sofa set! Reasonably priced"
160,Really like the display of all the furnitures there. Very professional staff. Placed the order right away!
161,Very good service by Alan. He knows the products very well. High quality furnishing
162,Staffs are very friendly and helpful. Very pleasant experience.
163,"My wife n I decided choose castlery furniture for our new house, cos the design was very suit to our home design n price is very reasonable n staff are friendly too😃😉☺️"
164,We just visited the showroom and we were amazed. Wondering what took us so long. The furniture is modern and very affordable. We bought a few pieces and will definitely be back. The staff were extremely friendly and professional. Not the …
165,Fell in love with the Bean bag and purchased it immediately. Great service by Ms Ivy. Overall experience in Castlery always a pleasant one. Will come back again!
166,Found an ideal sofa with nice fabric. Friendly and pretty salesperson who is also very helpful!
167,"At the beginning wanted to order the Alfie sofa thru the website, in the end we decided to visit the showroom at Jit Poh building. Wow! Surprisingly... the sofa very comfy and both of us like it very much. And also the very helpful staff... thanks Castlery! We sure will come back to you if we need anything."
168,"Bought the Almo TV console a a year ago after visiting the showroom, which was nicely set up.
Right as it was delivered, we found a problem with the hinges, so Castlery arranged for a followup repair at my house.
Few months of using it, I …"
169,Sylvia is such a lovely sales rep! Wonderful service
170,Staffs were friendly and welcoming. Thank you!
171,"Very good service, able to advice us according to what we need."
172,We came here to shop for a new sofa. The staff Ms Ivy Diaz is attentive to us and provided a detailed explanation on the design that we have in mind (Pebble). Her warm and friendly demeanor has make the shopping experience at Castlery an enjoyable one. We will definitely come back to shop for new additions for our house. Thank you.
173,Good quality and reasonably price modern furnitures. Excellent service by Alan
174,Slivia has been a great help. Great Service
175,Very friendly and helpful staff to make decisions on furniture matching and selections!
176,"the customer service officer, din, was really kind to approach us & serve us. he’s polite, patient & experienced. the environment was cosy & amazing. a place to visit, highly recommended 👍🏻"
177,Good place for furniture shopping but prices are on the higher end side
178,Very helpful staff who were on hand to provide their advice and recommendations on how to match the different furniture together. Thumbs up to Eric who provided the excellent service!
179,"Great furniture place. We have alot of ideas for our place after shopping here. Great service too, the staffs here are professional."
180,"Bought the Jaxon dining set, well priced and nice design"
181,Friendly sales staff Sylvia and great furniture at affordable prices
182,We really love how intricate the studio looks and how the products are of top-notch quality. The staff are also meticulous and pay careful attention to customers' needs and queries. Special thanks and mention to Din for helping us out with our purchases! 😊
183,Friendly staffs and the showroom is spacious with a lot of options to choose from. Definitely recommended.
184,Good variation of sofa to choose from. Showroom are tastily display. Looks modern. Staff are helpful...
185,I am overwhelmed with choices as there are just many attractive sofas and dining tables on display. The designs are intricate and elegant. I will definitely recommend my family and friends to Castlery!
186,"1st time stepped into Castlery, great design and customer service, made the purchase right away !"
187,Great showroom and goid answers to my questions regarding the different furnitures.
188,"The experience is seamless - from browsing through their app to the in-store browsing. Information are accurate across platforms and the staff are very well informed and helpful. Most importantly, the furnitures are beautiful and solid. Very happy with my purchase and my experience has been quite hassle free!"
189,Great customer service from Ivy. The showroom is spacious and good. Good experience and easy to order and get things done.
190,"I went to Castlery recently to buy some furnitures for my new home, and I’m always so happy with their quality products (modern & trendy design, high quality materials). Especially their service is beyond 5 stars. They listened to your …"
191,Nice helpful staff. Fuss free purchase
192,Nice helpful staff (Din). Offer good suggestions. Like the furniture display.
193,"Came into Castlery showroom to look for a sofa. The moment we walked into the store we were greeted with professionalism by all the staff there.

We managed to buy a sofa for our new house thanks to Ivy for being helpful.

Overall a very pleasant experience in store and we look forward to receiving our new sofa!"
194,"Great furniture options for any home styles! Helpful staff as well who were patient and accommodating to our requests. Highly recommended, do check them out! :)"
195,Experience was really nice and staff very helpful. The showroom is well presented and maintained.
196,"A hassle free purchase attended to by friendly and helpful staff, Sylvia. This is our 2nd purchase and we are pleased with the quality of the furnitures."
197,Service was very good and attentive! Products were also very nice and comfortable
198,"it's been a great customer experience coming to Castlery today. Shaun,  was very experienced and hands on with his customers. Thumbs up! Thanks Shaun for making a memorable pleasant shopping experience today!"
199,Showroom is nice and spacious. Lots of items that are tastefully displayed. Friendly staff on hand to provide assistance :)
200,Very nice showroom & good mix of furniture to choose. Informations very well displayed on the products. Service staff is very friendly and helpful.
201,"Love the showroom, modern and stylish
Staff very helpful
Very good quality for the sofa"
202,"First time here after viewing many different furniture stores, very satisfied with the elegant design and comfy furnitures. Thank you Eric for the dedicated sincere service. Definitely will come again to complete set up for our new home."
203,Staff was helpful in helping us to find the furniture we needed! Nice service every time we are here
204,Fantastic service and very fuss free environment. Will definitely come back again!
205,"Staffs are friendly and very helpful! The showroom is bright and nicely organized. Have been searching for a nice sofa for many months. Finally, I found the one that I was looking for! So happy now."
206,"The furniture here is chic and modern, service from the professional is great. I enjoyed my shopping here, cant wait to received my items."
207,Great place to look for classy and good quality yet affordable furniture. Shop assistance and service was awesome! Ivy was extremely helpful. Would definitely frequent here for future needs!
208,"Visited their showroom wanting to get some furniture. Their showroom had their full range and even shows which one goes best with one another. Sales team were helpful and friendly and even though i did not make a purchase on that day, the …"
209,"Love the setup of the available furniture, its pairing options and professionalism of the sales team. It's design are mainly modern and minimalist, befitting my style."
210,The Jit Poh studio is really spacious and we were assisted by Rainuddin during our visit. He was really informative and attended to our queries very friednly. I do recommend Castlery Jit Poh studio and please visit before any purchase .
211,Excellent service; with many choices and suggestions made by patient staff. Affordable price tag for the quality of items.
212,Very fast respond from customer service officer and helpful as well! Definitely highly recommended to purchase items from castlery!
213,Great bed and great customer service. I got a stained bed but it was mostly gone once I used a cloth to wipe it. Left a bit of stain but i guess got to accept it for its price:)
214,"Initial experience on buying:
Bought a pebble chaise sectional sofa! Quality, comfortable to sit, minimalistic design!

Customer service is awesome! Great assistance in helping me and my spouse in picking the right L-shape sofa for our new …"
215,Extensive range of furniture and friendly customer service! Highly recommend this place to home owners looking to refresh their home look.
216,Friendly on-site staff who help provide customised advice and clarifications for my needs.
217,"A very beautiful showroom and helpful staff. Thanks to Mr Anson Pang for assisting us, kudos to the service!"
218,"Aside of our love for the extended range of beautiful and affordable range of furnishing by Castlery, we were absolutely floored by the service rendered especially by Nikki. She’s very attentive, patient in attending to all our questions, …"
219,"If you like a pleasant and hassle-free transaction, I would suggest that you look elsewhere.

Beyond that nicely fitted showroom, once full payment was made, everything went downhill. You would worry about goods that never get delivered, …"
220,The staff here were helpful.  Furniture sensibly priced too.
221,"Nice environment, well displayed.
Staff are helpful and friendly.
Nice design and good quality."
222,The sales assistant Sylvia is very patient and helpful. I had an enjoyable time selecting my favourite furniture there!
223,"Helpful customer service, easy decision to choose new furniture"
224,Castlery can be counted on for its high quality furniture! Customer service is also fantastic.
225,Very pleasant shopping experience at Castlery showroom with very helpful Samirah. Highly recommended for anyone looking furniture.
226,Had an amazing and pleasant time at Castlery! Bought a beautiful dining set -Vincent table mixed with Joshua chairs- and a lovely Capella sofa. The quality of the furniture here is premium quite unlike other furniture places. Lots of variety too for mix and match. Very glad to have found the place!
227,Din was great and helped us customize the couch to fit our needs
228,We bought the Alex bean bag and it was a nice additional to the living room. We can use it as a feet rest or lie on it while watching tv. It’s a good buy!
229,"The studio has a wide range of products with very helpful and knowledgeable staff, strongly recommend"
230,"Terrible planning and customer service (not all as Najib provided a better delivery)

1. Ordered sofa online on Sep 1 with expected delivery from Nov18 to Nov25.

2. Nearing delivery date receive no email or call. Email them Nov16 to …"
231,Great service and nice affordable selection of furniture
232,Angela has got great product knowledgeable and awesome customer service! Highly recommend first time home owner to look for her. We’re looking forward to receive our sofa!
233,Nice spacious showroom. Good explanation from friendly staff. Would recommend.
234,Great products and recommendation from Din for our tv console! Enjoyed the service experience.
235,Great service provided to us. We left with a table & a sofa! Will be back again!:)
236,"Was looking for some furnitures and went to their showroom at Jit Poh Building. I was impressed with most of their items. Their furnitures are designer styles, good quality and comfortable yet prices are affordable.

Was planning to get a …"
237,"Great services provided by the staffs.
Was assisted by Din for our sofa purchase.
Nice designs!"
238,"We wanted to furnish our Singapore house and started looking at furniture options. We came to Castlery and could not see beyond. Beautiful designs, good sturdy quality. We ended up furnishing our house with all things from Castlery. Good experience. My only wish is see shortest delivery times."
239,"Is a pleasant visit to your showroom , thanks to Nikiki for her good service, we got what we looking for..."
240,Visited the place twice and decided to get a living room set. Came on a Monday so the place was less crowded and got personalized service. Very helpful and got to check out different combinations. Highly recommended!
241,Great location and store ambience. Staffs are very friendly and special thanks to Din who has been great!
242,"Very impressed with the service provided by Staff Eric. He was very friendly, patient and served us very well for our purchase. First time to castlery, very good experienced with both service and the products here. Good quality!"
243,Staff is patient and also helpful when we ask questions pertaining to purchase the sofa
244,Great service and advice by Angela. She provide a few options and answer few of my enquiries. The showroom has very nice layout
245,"Castlery was a top choice in our furniture selection for our new home thanks to its quality furniture, affordable prices and most importantly friendly staff who made our experience very homely!"
246,Layout of the place was nice and comfy. Staff was very friendly and helpful too. Would definitely come and visit again if we have more furniture to get! 😀
247,"Castlery's studio is a very conducive place to shop and get inspired. Place is well maintained, products are nice and service is professional! We bought the Capella sofa and will be back again for more items."
248,"Excellent products and most importantly service staff, Din provides top notch customer service! Thank you Din for providing me advice and made my purchase at the shop a very enjoyable one!"
249,"Came a couple of times to get furniture for a new place and was helped out by Jacob. We saw online that there were multiple delivery dates available, but Jacob managed to help us arrange for all the furniture to the delivered together. Thanks for the great service!"
250,Superb experience shopping in store with guidance from the friendly Castlery staff. Would definately return for more items!
