,comments
18,"Big ample parking space. Staff normally do not bother you, when you look around for furniture. Find it weird initially, maybe they have a certain queue system to serve customers. Though I bought a sofa set from them. I still find the staff weird! 😅😆"
19,Big place to look ard
20,Big range of Furnitures and is on offer
21,Big showroom with providing free carpark. Sales staffs are friendly and professional
22,"Bigger and spacious store, quite alots of products range, free parking, friendly staffs.
And toilet within the store that's the best part for this store.

Only things is not much discount as most items are fix price"
23,"Bought a computer desk.
Great salesperson.
Fast delivery
Very pleasant and smooth transaction."
24,Bought a dining table today - served by Smindy! Young and sweet lady! Super patience too! Not pushy and therefore can decide within a short time to buy the dining table with her precise intro! Will go to her again next time when I want to buy a bed for my girl! 🙏🏻🙏🏻🙏🏻👍🏻👍🏻👍🏻
25,"Bought a dinning table there, was served by a staff named Jasmine. She is very friendly, patient and knowledgeable. Highly recommended to purchase here as they have great item and service."
26,Bought a new sofa at Star Living.  Smindy is great salesperson. She gave great suggestion.  Will come again.
27,Bought a sofa from a nice salesman named Li Quan. Informative without being pushy.  Value for money
28,"Bought dining table and was served by smindy, pleasant and detailed tour to find the ideal set"
29,"Call 6362 7077 this number to enquirer about the dresser i have order online. But all i gotten was ""What"" and "" i dont know"". My order how ?"
30,"Can experience various furniture n the sale person is well trained, friendly manners."
31,Cool place with cool living design
32,Courteous service and helpful people in the self collection store.
33,deleted my old review. rude and unprofessional.
34,Dropped by to use the toilet and to pray. Thank you for your help. An oasis in the desert.
35,Durable goods
36,Elgant furniture with some discounts to consider. It brings joy to see their designs after all.
37,"Enjoyable experience =). Smindy is very helpful, friendly and provides valuable insight to our needs. 😀"
38,Excellent customer service. Very friendly and patient staffs.
39,"Excellent service from Shirley. Very patient, friendly and accommodating to our requests."
40,Free parking! Nice place to browse
41,Friendly and helpful service. Good experience.
42,Friendly and polite staffs
43,Friendly chinese lady staff Sminfy Wong to show me around and helping me make my decisions in my purchase.
44,Friendly staff to knows her furniture and other related details well. Clearly experienced and I was able to make a better informed decision on my purchases. Thanks Shirley!
45,"Friendly staff, bought a bed here to be delivered later"
46,"Friendly staff, bought our sofa here"
47,"Friendly staff, nice display, reasonable price 👍"
48,Friendly staff. But u must know what you're looking for.
49,Furniture at reasonable pricing
50,Furniture design more modern as compared to some traditional furniture centers.
51,Furniture showroom
52,Furniture under one roof.
53,"Furnitures design wasn't as much of choice, there is 3 storeys in the building holding different brands and concept. Level two was more suitable to my liking under Mondi brand. I visited there bcos just aft of mrt exit at labrador, convenient and easy with such hot weather without transport."
54,Glad that you are happy with our products :) Thank you for your review!
55,Good
56,Good experience in here with one of the male in charge person here. Help us for the viewing and introduce us with what we need. Most important thing is giving us advise with what we oversight it. Forgot get his name but definitely will go back look for him to make a purchase.
57,Good layout
58,Good place to drop by for the weekend . Has a few levels
59,Good range of products and prices to suit all budgets. Helpful staff.
60,Good range of sofa which suited our taste
61,Good sales and after sales service from sales lady. However the quality of the furnitures are extremely disappointing considering its reputation. Sofa came in with issues ranging from slanted leg to unfurnished legs which was swapped out (3 …
62,Good selection
63,"Good selection of beds,
Sofas are OK,

Check for Jasmine there,she got wonderful product knowledge and good in deals matching."
64,Good selection of modern design furnitures. Staff are friendly.
65,Good selection of modern design furniture's. Staff are friendly.
66,Good selection.
67,Good service but pricey tags on items sold
68,"Good service, good quality.
GETHA is the best of the best latex mattress. My first GETHA mattress already use 8 years but still in good condition. Currently I buy 2nd GETHA mattress & ask my friend must buy this brand mattress."
69,Good service. Very responsive and patient to answer question. Thanks
70,Good services
71,Good store but one in IMM has a more friendly and attentive staff. This one has more space and keeps stuff from star living and Mondi Lifestyle across the shop.
72,Good stuffs there.
73,Good variety of furniture to choose from. There are other furniture shops around so it's a good place to shop for your home
74,"Good, prices are cheap and affordable. Furnitures are good too"
75,"Great choice of merchandise. And I was served by Leon Baey, a very helpful guy. Btw, this was at the IMM store, not the Tampines one. Sorry about the mixup. I’ve never even been to the one in Tampines."
76,Great customer service. Was served by francis. 👍🏻👍🏻
77,Great place to shop for furniture
78,Great place to shop for your furniture
79,Great sales attitude.. Wide variety of products..
80,Great service and convenient location!
81,"Great service provided by Smindy.
She was very attentive and patiently attended to our queries and needs."
82,Great shop for furniture. Very good selection and helpful staff.
83,Had a great experience with our purchase. Jasmine was very helpful to search for the dining table set that we want and able to advise us on how to have the perfect matching. She has also helped to follow up with the delivery service. A great staff that Star Living@Sungei Kadut is having!
84,"Had a great time here shopping for sofa. Many thanks to the Sales Executive, Ms Smindy Wong! She is such a sincere, friendly and humorous person that makes us feel comfortable with her. :)"
85,Had a very good experience at Star Living @ Labrador thanks to Mr Marverik Chai. We were looking for furniture for my parents and he patiently showed us all the available options. He gave us one of our best shopping experiences. We ended up purchasing a reclining sofa and armchair. Very happy with purchase and delivery/setup.
86,"Hard to reach area, pouring rain. Went in no one serve perhaps I'm only wearing a branded slipper and my family is expatriates. Chose a item. The staffs is just a processor. No sales talk no freebies. Fixed price. Took out a list telling me …"
87,has got a good variety of furniture. Designs are nice too
88,Have a good shopping experience here attended by James. He is patient and very knowledgeable. Able to give us advices and tips. Overall a good experience.  Worth to come for a trip.
89,"Have an awesome shopping experience at sungei kadut star living. The staff, Maverick, he's super friendly and willing to help. He suggested accordingly to all my request even lend a helping hand to go for extra mile. Really appreciate so much for his service. Really thumbs up for such great services! 👍👍"
90,Helpful staff. A good place for furniture hunting
91,"Hi Ben, we apologise for the poor experience you had with us. As per our investigation, there seems to be a miscommunication between us. For your kind information, do note that our Jack-N Coffee Table comes with a rotatable drawer on one side and a fixed panel on the other side, hence it requires some allowance for the rotation mechanism to be smooth, which explain the slight slant. In fact, we have been selling this model for quite some time and all customers are able to accept it. Hence, we regret to inform you that we are unable to let you exchange for free as the slight difference in table height is not a product defect. However, should you decide to exchange for another model at a surcharge, do let us know and we will be happy to assist you :)"
92,"Hi Eldad, thank you for taking the time to write us a review. We are sorry to hear about the poor experience you had with us.

We have investigated your case. Your sofa has been delivered for 3mths before we receive your first complaint. We have been responsive and have done our best to expedite the repair from the usual 8 weeks down to 1 week, despite currently operating at limited capacity due to COVID-19.

Yesterday, 8 June 2020, we delivered the repaired sofa to you, however it has been rejected due to the uneven foam & you have requested for a refund instead. We regret to inform that as the sofa you bought was a display piece cleared at 20% discount as-is condition, hence it will not be valid for exchange, cancellation or refund as agreed upon purchase.

However, we would still like to make this right for you and have brought the sofa back to service again, we will expedite on this again.

We hope you can see that we are already doing our best for you and we hope you can reconsider and accept the sofa after the 2nd servicing.

Thank you."
93,"Hi George, first and foremost, we would like to apologize for your series of poor experiences with us.

Understand that our delivery team only managed to reach your premise last night at around 11:25pm despite the agreed timing of 7-9pm, we sincerely would like to apologize for that. We seek your kind understanding that we are in our peak season now due to CNY and have been delivering till late night everyday, even to wee hours. Nevertheless, the lack of update from our delivery team on the delay after 9pm is definitely our wrongdoing, and we apologise for that on their behalf.

At the same time, we noted that you have tried to call our Tampines showroom last night to check on the delivery status and it was our sales staff TC Tan who has answered your call. We understood from him that the line was cut off a few times due to poor signal & technical issues, and he did not assist to check with our delivery team on the status of your delivery due to shop closing. This is indeed poor service and very unprofessional, rest assure that we will not tolerate that and a stern warning has been served to TC Tan.

Once again, we apologize for all the inconvenience that we have caused and thank you for your patience and understanding. Your valuable feedback matters to us and rest assure that we will definitely share with our delivery team & TC Tan to improve on it.

Understand that there is no further issue after the installation yesterday, hence we would like to close this case on our end. Should there be any issue pertaining to product, do feel free to contact us at 6269-2022 or customercare@sg.starintlgroup.com.

Hereby wishing you & family a happy & prosperous CNY, stay safe!"
94,"Hi Rachel, thank you for your review. We are really glad that you have enjoyed your time with us and especially so with our Sales Staff - Andrew. We will definitely share it with him and our Management. Thank you 😊"
95,"Hi Rui Fa Lin, thank you for taking the time to write us a review. We're sorry to hear about your experience with us. Regret to inform that as of now, we do not have any tie ups or regular contractors that we work with with regards to such wet works, hence we are not able to provide any suitable recommendations. We seek your kind understanding in this matter. Thank you."
96,"Hi Wilma, thank you for taking the time to write us a review. We are sorry to hear about the poor experience you had with our Hercules Chair. We have checked your record, your Chairs have actually been delivered 22 months ago.

For your kind information, our Hercules Chair is made of PU (a synthetic leather) and not genuine leather. Do note that PU is an eco-friendly material with a nice soft touch, hence is less resistant to stress and may peel over time. Furthermore, peeling may occur due to many reasons, such as usage, environment (eg humidity, direct sunlight), wear and tear etc. But generally with proper care, PU products should be able to last 2-3 years minimally.

Usually, we will still be able to provide reupholstery at a fee for on-going models even as long as more than 5 years. Unfortunately, Hercules Dining Chair has been discontinued by the factory itself; hence we regret to inform that we will not be able to repair it & we seek your understanding in this matter.

Understand that our sales staff has already contacted you to propose some resolutions, hence we will proceed to close this loop on our end.

Once again, we apologise for the inconveniences caused and we thank you for selecting Star Living (LUCANO) as your preferred retailer. We sincerely look forward to be at your service again."
97,"Hi Wilma, thank you for taking the time to write us a review. We are sorry to hear about the poor experience you had with our Hercules Chair. We have checked your record, your Chairs have actually been delivered 22 months ago.

For your kind information, our Hercules Chair is made of PU (a synthetic leather) and not genuine leather. Do note that PU is an eco-friendly material with a nice soft touch, hence is less resistant to stress and may peel over time. Furthermore, peeling may occur due to many reasons, such as usage, environment (eg humidity, direct sunlight), wear and tear etc. But generally with proper care, PU products should be able to last 2-3 years minimally.

Usually, we will still be able to provide reupholstery at a fee for on-going models even as long as more than 5 years. Unfortunately, Hercules Dining Chair has been discontinued by the factory itself; hence we regret to inform that we will not be able to repair it & we seek your understanding in this matter.

Understand that our sales staff has already contacted you to propose some resolutions, hence we will proceed to close this loop on our end.

Once again, we apologise for the inconveniences caused and we thank you for selecting Star Living (LUCANO) as your preferred retailer. We sincerely look forward to be at your service again."
98,Home Furnishings n accessories mid range prices. Varied n quite variety of designs go all tastes. Staff are helpful n patient with good knowledge especially Manager Joseph. Bookings can be made with deposits payable n delivery prearranged …
99,"I had been searching around for my new house furniture, glad that i went to Star Living and met promoter - Ms Jasmin she is very polite, patient and explain to me in super details. I had purchased all my furniture through her recommendation …"
100,"i had made purchase of 2 dining table with 8 chairs (invoice 1731075 and 1731077) in Jan 19, delivery on 22 Apr mon 2pm.

We made multiple calls in Apr 19.

My wife call starliving tampines branch again on 15 Apr 19 and was told the …"
101,"I have not buy anything yet. But I am damn well impress with the staff (Li Quan) service that willing to give and objective opinions, giving the negative and positive side of the product.
Will be back again once I already get the exact measurement and settle on what I want to do."
102,I love the animal stools here. Bought 2 for the house. Awesome 👍
103,I received excellent service from Alson at Star Living Tampines. He was very patient with my enquiries and updated me along the way till delivery was made. Keep up the good work Alson.Will definitely recommend Star Living to my family and friends
104,I was served by Shukor and Shirley. They were patient and friendly. Thanks guys👍👍👍👍👍
105,"I would give no stars if I could. Staff are only friendly until purchase is made. Once the receive payment, you can forget about getting any decent service. Delivery guy was extremely rude and didn't come during the timing that they had …"
106,iam 5 years  ready  working  here.this place is very good  for  furniture  sealing
107,"If not for Corin and her colleagues at the Tampines outlet our family trip to Space@Tampines would've been a wasted 2 hours two-way trip from the West.

The few other shops that were open were disappointing. Understaffed with uninspiring …"
108,It was a great exp shopping at the shop. The staff miss sharon was friendly and full of knowledge especially about cabinets. Simply love it
109,It was a wonderful experience. Jasmine was super sweet and helpful. Furniture is great too
110,"It was awesome walking inside and Ms Jasmine was good as she had a very good knowledge of the furniture.  All the best
Thanks"
111,"James served me during my visit. Was very helpful and attentive, provided good suggestions."
112,James was experienced and efficient and help me make a good decision about the Lucano sofa I purchased.
113,"James was very efficient and consultative with both myself and my property agent, helping me to find furniture that was suited to my apartment layout/size and budget. The viewing was swift, effective and overall the whole process was very …"
114,"Jasmine and Elynn are such wonderful ladies. Friendly and the best sales service ever!!
They went all out to assist my husband and I.
Excellence service."
115,Jasmine did a very good service. She recommend based on our requirements.
116,Jasmine Lau had provided excellent service. Good job!
117,Jimmy was very helpful and was not a pushy salesman at all. Affordable prices for Scandinavian-like furniture and high quality leather couches. Would highly recommend!
118,Just make my purchases here and I’m very very pleased with the service provided by Mr Alson Tan. He’s indeed a “STAR” salesperson! 👍👍👍
119,"Knowledgeable and understand customer’s needs, thumb up for professionalism shown by Rochelle. 👍"
120,"Large furniture mall with many different retailers offering a large variety of furniture types, be it traditional marble from Poly-art to more contemporary styling from Novena, also something for those looking for wood furniture."
121,Large selection of so so furniture at average prices. They offer entry to a bit of style for those with a limited budget. Furniture quality isn't great but will do the job.
122,Large variety of reasonably priced furniture with good service and free delivery for purchases above $500.
123,Liked this place for their good range of reasonably priced products.
124,Looking nice quality good  very cheap 👌👍price
125,"Looks promising, reasonably priced furniture (those in the main building not Zen or Jotter Goods next door since those are premium pieces). Definitely can give IKEA a run for its money. We spotted a couple of potentials but we haven't bought yet, will update score / review once we have tried out their products."
126,Lot of furniture
127,"Managed to buy my dining bench with backrest (joker bench in grey with matt black powder coated legs) and also 2 dining chairs with backrest, seat deep enough for me to sit cross legged on (pigeon dining chair) for $483! Good quality and …"
128,Many choices.  😊
129,many gd bargains~!
130,"Many items to view and the sales people are friendly, comfortable, and good knowledge on the products."
131,"Mondi Sofa cheap quality. I only used for 1 years plus, the cushion and out layer worn out."
132,More on sofa & dinning sets. Reasonable price.
133,"Ms Jasmine Lau from Star Living patiently serves us choose the furnitures that can match our living area. She has very good product knowledge and can easily recommend us the things that we need. Impressive, friendly service...good job Jasmine 👍👍👍👍👍"
134,My favourite. Enough said.
135,"My husband and I would like to give our biggest compliments to Doris C. from Tampines outlet who impressed us with her excellent customer service today.

We wanted a dining table with mismatched chairs and spent a lot of time mixing and …"
136,My sofa was delay due to the shortage of space and containers around the region which is understandable..James from Labrador have help us monitor and even manage to arrange quick delivery once sofa reach warehouse. Most of my funiture are from star living and I would say quality and after service are good.
137,"My wife and I were looking for sofa and decided to go in and take a look. We were served by an elderly man (Jeffrey) who was very patient with us.

The range isn't huge compared to most other places but my wife saw a sofa which she really …"
138,Nice
139,Nice furniture
140,Nice furnitures at affordable prices
141,Nice place at decent prices. Free parking too.
142,Nice place to look at beds but the staff are weird
143,Nice place to look for interesting finds. Was pleasantly surprised to chance upon this store offering an ecletic mix of furniture as it is tucked away neatly in a corner opposite ARC. Been wondering why we have not visited earlier!
144,Nice range of furniture... staff not that friendly..... price ranges
145,Nice selection of furniture and themes
146,Nice showroom to carry different in house brand of furniture. Serve by patient and knowledgeable sales manager Mr James. Thanks you.
147,Not good
148,Not many choices but the quality of furniture got standard.
149,Nothing much unless you are looking for something there
150,Nothing much you can't find at their showroom at IMM. Prices are similar.  No point going all the way to the warehouse location which is out of the way.
151,"Novena and Star Living is vy quiet now during these Covid season, along whole stretch only my car park alone there. BUT...!!!! Let me tell you.... Inside they are many & many furnitures on display for super sale which they are now not on advertisement. GRAP & GO now....!"
152,"One of the worst furniture shops. Chairs and tables are uncomfortable, leather sofas tear within a year."
153,One stop furniture mall with different brands.
154,"Ordered bed frames and tables
Sales person TC HAS helped to find suitable items
He is the best person to see
Thanks for support TC"
155,"Ordered multiple sets of furniture. Products from Malaysia were good with good quality, BUT products from China (they said  OEM and not manufactured by Starliving, but they sell without any notice to customers) were NOT in good quality have …"
156,"Passable products range and mix. Auntie sales staffs more enthusiastic and knowledgeable than their next door competitors.

Intent on just browsing but ended up buying a sofa set, study table,  chair and side table.  Too bad for Vhive.  Cheers for Corrine."
157,Poor service
158,"Potential consumers please be cognisant of the poor after sales service . I've recently bought a coffee table at their store but later found out that the top was slanted . Upon contacting them , the request for an exchange for another item was consistently declined. Highly unjustified and extremely disappointed."
159,Pretty good place. All fixed price which is good.
160,Pretty well stocked but seems a little pricer than the other shops.
161,"Products are good looking and price friendly but if you are in a hurry, don't go to Star Living Sungei Kadut at 3pm for cash and carry goods. The staff at the goods retrieval section NEED a coffee break at 3pm. They will only retrieve the …"
162,Quality furniture.. Great service.. Prices is reasonable
163,Quality furnitures but the shop layout is not ergonomic.
164,Quality n awesome furniture
165,Quiet outlet where I can take my time to test the furnitures. Prices are competitive and quality of products are pretty good. If you are hunting for furniture make sure you don't give this a miss
166,"Quite a good variety of quality living & dining room furnitures, as well as bed frames & mattresses. Love the home accessories as well. Staff were all friendly and helpful."
167,"Range of furnishings available but not TOP quality, nevertheless affordable n befitting the price range. Staff are helpful and stock is usually obtainable if low waiting time. Some of the designs are unique n quite fashionable. Good range of decor also available n there are many outlets all over SG."
168,Reasonable furnishings
169,Reasonable priced furniture.
170,Reasonable pricing
171,Relatively new building. Helpful staffs. 👍🏼 but location alittle inaccessible.
172,"Rochelle  at AMK  northstar was very understanding and supportive.. she explained everything in detail.
Is an asset.
Sanjeev"
173,Sales executive Smindy with Professional skill and advise.
174,Sales staff very polite and patient. Furniture price is very reasonable and modern.
175,"Sales team not at all keen to sell their products, have to call them again and again for the queries."
176,"Sales, staff were kind and friendly"
177,"Salesman Alson very friendly, polite and good service."
178,"Salesman name Joseph, Good service and patient with explanation, sharing and advice. Thumbs up!!👍🏻👍🏻👍🏻"
179,salesman was bad in attitude
180,Salesperson not approaching .....stepped in more than 5 mins b4 a young guy approach to help ...2 of them just don't care as if I'm invincible.....bad service ....not keen to serve
181,Senior Store Manager Jason answered all our enquiries patiently and was very knowledgeable on the products on display and courteous throughout! A True 5-Star service.
182,Service is good and reliable
183,Service is good and staff is attentive to details.
184,Service staff were patient and assisted us in choosing our table.
185,"Services provided by Ms Smindy is exemplary, that I will not hesitate to recommend my friends to commit their next purchase at Star Living.  My sincere appreciation to the efforts rendered."
186,Sharon customer service is exemplary. Good job to Star Living.
187,Sharon is very patience with us taking our time to discuss and think and to make decision. She will give suggestions but not pushy. We are happy with her service!
188,Shirley is very helpful. Love her service! :)
189,"Shirley Tan has given me a very wonderful customer experience, she is extremely patient and friendly. Thanks!"
190,"Smindy is a friendly, helpful & attentive guide. We found what we looked for."
191,"Smindy is a friendly, knowledgeable and professional  salesperson - never pushy. She was able to answer any and all questions we had. Great job, Smindy! 😊"
192,Smindy is a very helpful and energetic sales assistant. She helped to promote the furnitures at toh guan star living. She was willing to explain the different furnitures at star living. Excellent working attitude👍.
193,Smindy is attentive and able to answer to our queries.
194,Smindy is friendly and professional with good patient
195,Smindy is very helpful and patient in advising us on selecting sofa. We brought the sofa after our 1st visit here.
196,Smindy is very knowledgeable and helpful when explaining the products.
197,Smindy is very patient and friendly. She provided wonderful service and we bought a sofa from her on the same day.
198,"So glad we found out about this place before settling for generic and common options.

Great outlet for designer interiors. Sofas. Dining tables. TV entertainment units. Accessories.

A must visit before buying basic anywhere else.

We will be back!"
199,So so furniture
200,Staff are quite pushy and they follow you around as if you might run off with their dining table anytime. Redeeming factor will be the affordability of their furnitures.
201,"Staff could be friendlier. Three floors of furniture to browse through, in varied styles though some were kinda tacky to me."
202,"Star living is my first choice when it comes to buying any furniture items. Key thing is the niche quality of items, very competitive price and most important, externally warm, polite and informative sales team. James, the sales manager …"
203,"Strongly recommended.

My tempered glass dining table broke and I went to visit Star Living. Their Sungei Kadut branch is filled with many great variety, you will be spoiled with so many great choices.

I bought on last Sunday, and delivered today. Very efficient."
204,"Summary: look for Terry

good selection & quality items. Most importantly a sales person that listens to you rather than trying to sell."
205,Super
206,"Superb showroom with loads of selection, location is very convenient & accessible. Designs are great with options for vintage or modern lovers alike but fabrics & colors selection are very restricted, options for desired fabrics & colors is possible with an add on cost which could be costly as it's in %. ⭐"
207,Superlative service by Sharon for fickle buyers like we. It took us 2 hours to decide on a dining table and chairs. Extensive variety to choose from. Great prices.
208,TC awesome service!  Recommended!!
209,"TC from Star Living Tampines attended to us and was extremely patient and helpful! We took a good 3 hours here and he took us through the long hours, explaining the pros n cons of each item and giving recommendations without being too pushy. Thank you!"
210,"Terrible service and lousy products, don’t buy from star living.

I purchased a sofa which after two months springs started to come out and it has been a nightmare to get it fixed.

Beware of star living... my recommendation don’t buy!!!"
211,"Thank you Alson, very helpful and informative!"
212,Thank You smindy ! Kind and patient
213,"The 1st time we walked over from Ikea, the whole building had power failure. Will re-visit & re-rate this place."
214,"The biggest star living store I have been. If you are going to star living, only go to this store."
215,The furniture are pretty average looking. Some are not even worth looking at. Value for money but i wouldn't want to put any of these furniture in my house. Folks with budget would find this place pretty good.
216,"The place is good, gives you a variety of choice but what stands out for me is James who is the store manager. There was a compatibility issue for the bed and mattress that I bought from here in terms of size but James was quick to resolve the issue which is an example of great customer service"
217,"The sales person, Smindy is super friendly and helpful with all my inquiries."
218,The service staff here are attentive and not pushy. Makes decision-making easy!
219,The staff were helpful
220,The store just opened for the day yet they serve us as though its been a whole day at work. Sluggish and poor service.
221,"There’s a wide variety of furniture here and most important of all, patient and friendly staff. We were served by Mr T.C who patiently explained and showed us around while we make our decision. Thank you!  👍🏻"
222,"They have some pretty upmarket pieces if you look around, and there is a nice free carpark right in front. A lot of salespeople, and one is assigned to you when you enter to follow you around the whole store. There are three floors and the …"
223,"This is Star Living largest outlet, having full range of nice furniture and all the display is neat."
224,"This is the best Star Living outlet and also the largest. We had bought stuffs from IMM and Tampines outlets last 2 months. Should have come here first.  They got everything we bought and more.

Why the best? Spread over three floors in its …"
225,Thks to Jasmine for her 5 stars service although I just bought a chair. Every salesman will hv something to learn from her.  Will definitely look for her again when changing my furniture.  Highly recommended 👍
226,Top-notch customer service from Smindy. She is attentive and has an affable disposition. Told her what i was looking for and showed me all the selections available in all the 3 floors. Thank you for making my purchase a smooth one.
227,Trending furniture for families
228,Used to be a very good place for all your furniture needs . The offers now seems to be not so much now a days
229,Value for money furnishing
230,Variable choices of furniture for various options. Star Living among the good companies rendering their excellent service.
231,"very bad after service. within bit more than 1 year PU leather peels off, and they can not do anything anymore. Never seen such a lousy quality. In case they would try to find reasonable solution.... but no. I would never buy here anymore."
232,"very bad after service. within bit more than 1 year PU leather peels off, and they can not do anything anymore. Never seen such a lousy quality. In case they would try to find reasonable solution.... but no. I would never buy here anymore."
233,"Very comfortable and well stocked environment. The staff are friendly and helpful. Especially Sharon, who has been very helpful and supportive. She is patient to listen to our needs and explained to us what is needed. Will definitely return to visit them going forward. Thanks"
234,Very expensive..only for branded items
235,Very good 😀
236,Very good experience with Star living 👍🏻 Jasmine was detailed and patience in explaining and introducing us the different furniture that we are looking for ! Recommend !! 💯
237,Very good service from showroom staff Grace
238,very good service. very helpful n courteous staff..gd value for money
239,very helpful n knowledgeable in explaining👍
240,Very lucky to have Chee Keong serving us. He was patient despite our long decision making. I was pai seh at first but he mentioned that it is important that we buy the right furniture for home. Very welcoming. I am happy to find what I …
241,Very nice place to shop at. Pretty decent pricepoint. One of the table i checked out looks amazin from the front but the back look like it's of poor worksmanship.
242,very reasonably priced.
243,Was looking for a dining table. The staff was very accommodating and answered all our questions. Will be back once we have already decided..
244,"Was served by James, he is very patient and willing to share his experience. Bought our new sofa from you. Star living have many affordable choices to choose from, totally worth our trip! Thank you! :)"
245,"Was served by Smindy at Star living Furniture Mall Toh Guan. Very sincere and patient lady, well spoken and bright personality. We understand more about size, material, and if our choices are suitable for our overall house design. We purchased 2x from her and will always call her before we come over for our next furniture shopping"
246,"Was served by Smindy, top class customer service from her. Very enthusiastic at serving my family and showcasing different furniture to my family too. Thx star living"
247,Waste of time going to this place. Sales person lacks the knowledge - absolutely no business sense. Asked if they can recommend a 3rd party contractor to install a plaster wall behind the wardrobe - clueless and no idea. Pricing is not exactly cheap. No wonder we are being replaced by foreigners.
248,"We are amazed by the courteous and patience of Ms Smindy to attend us around the showroom.
Thank you again."
249,"We are served by Ken, so happy and pleased being served by him, very resourceful and patience with our queries.

Thank you so much Ken, thank you Star Living (Labrador)"
250,We are very pleased with the service that Smindy provided us with. She is very knowledgeable about the products and most patient and helpful answering our queries.
251,We were greeted and served by Francis Sim. Love his proactiveness and attending to our needs. Very prompt service and made our experience here very pleasant and smooth. Thanks for serving us Francis.
252,We were looking for small cupboard. Was served by Smindy. She was friendly and very helpful by recommending us when we gave her the measurements and type we were looking for. She don’t feel the hassle and had shown us till we found the right one. Thanks Smindy. You have saved us lots of time searching around.
253,"We were served by Sharon. She is very friendly, attentive, patient and she gave us recommendations also to suit our requirements. Very good service! :)"
254,We were served by Shirley at Star living (Furniture Mall) and we are very satisifed with her service! Thank you!
255,We were served by Smindy. She is extremely knowledgeable and we had a very comfortable experience choosing the sofa for our new home. Thank you!
256,"Went over today wanting to check out furnitures. As it was raining heavily i did not notice that left side is for staff. Your guard came out knock on my window with, for a lack of better word, ""kiampa"" look. I was texting on phone when he …"
257,"Went there to search for a storage bed and was assisted by Jason. Really nice and approaching sales man. Knowledge and willing to go the extra mile to ask for arrangements.

Star living has a range of modern products but you'll need to be prepared to spend a little more here. Recommended! :)"
258,Wide collection.
259,Wide disply of furniture
260,Wide range of furniture
261,wide range of furniture and free parking
262,Wide variety
263,Wide variety of furniture
264,Wide variety of furniture and prices. Good transparent customer service.
265,"Wide variety of furniture and very modern too. Smindy was very helpful, patient and not pushy. She accompanied us around and recommended according to our liking. Will probably come back again in the next few months to see other furniture :)"
266,Wide variety of furniture but price is a little high
267,Wide variety of furniture.
268,Wide variety of furniture. Staff friendly and impose no pressure tactics. Provide info and advice only when asked. Reasonable prices.
269,"Wide variety of sofa choices and was quite impressed with sales staff named Joanne, friendly and patient"
270,Worst response delivery. 2 hours buffer but never arrived n never called to me. I called to shop so long till pick up the phone then after I explained guy replied “we called you this afternoon but no one answered. Now is peak season pls …
271,Year end discount !
